t_date,t1_date,open_t,close_t,open_t1,volume_t,thin,zero_or_blank,bad_print,ghost_excluded,rule1_excluded,kept,r_night_raw_bps,r_day_bps,cost_conservative_bps,cost_optimistic_bps,net_conservative_raw_bps,net_optimistic_raw_bps,vol20_t,one_sided_info_count_total,n_bad_print_rows_total,n_ghost_rows_total
2025-12-16,2025-12-17,51880.0,51310.0,51370.0,553274.0,False,False,False,False,False,True,11.693626973299232,-109.86892829606742,3.8978756577665172,0.0,7.795751315532714,11.693626973299232,0.014631926594171903,0,0,0
2025-12-17,2025-12-18,51370.0,51410.0,50650.0,197042.0,False,False,False,False,False,True,-147.83116125267503,7.786645902276845,3.8902937171756466,0.0,-151.72145496985067,-147.83116125267503,0.014986439920097959,0,0,0
2025-12-18,2025-12-19,50650.0,50910.0,51230.0,309258.0,False,False,False,False,False,True,62.85602042820582,51.33267522211327,3.928501276762915,0.0,58.9275191514429,62.85602042820582,0.013152920274173616,0,0,0
2025-12-19,2025-12-22,51230.0,51380.0,52370.0,185723.0,False,False,False,False,False,True,192.68197742312142,29.279718914698716,3.8925652004671076,0.0,188.7894122226543,192.68197742312142,0.013318095245933,0,0,0
2025-12-22,2025-12-23,52370.0,52260.0,52320.0,353081.0,False,False,False,False,False,True,11.481056257176547,-21.004391827381674,3.827018752391887,0.0,7.654037504784661,11.481056257176547,0.012304820322417946,0,0,0
2025-12-23,2025-12-24,52320.0,52300.0,52420.0,134541.0,False,False,False,False,False,True,22.94455066921497,-3.822629969418845,3.8240917782026767,0.0,19.12045889101229,22.94455066921497,0.01174687966913472,0,0,0
2025-12-24,2025-12-25,52420.0,52240.0,52340.0,200775.0,False,False,False,False,False,True,19.1424196018386,-34.33803891644382,3.8284839203675345,0.0,15.313935681471065,19.1424196018386,0.011732485539087484,0,0,0
2025-12-25,2025-12-26,52340.0,52300.0,52410.0,63165.0,False,False,False,False,False,True,21.032504780114092,-7.642338555597927,3.8240917782026767,0.0,17.208413001911417,21.032504780114092,0.011064972660029678,0,0,0
2025-12-26,2025-12-29,52410.0,52620.0,52700.0,184262.0,False,False,False,False,False,True,15.203344735841284,40.0686891814539,3.800836183960471,0.0,11.402508551880814,15.203344735841284,0.01077007132101116,0,0,0
2025-12-29,2025-12-30,52700.0,52400.0,52230.0,147905.0,False,False,False,False,False,True,-32.44274809160341,-56.925996204933995,3.816793893129771,0.0,-36.25954198473318,-32.44274809160341,0.010845561590017185,0,0,0
2025-12-30,2026-01-05,52230.0,52320.0,53190.0,178805.0,False,False,False,False,False,True,166.2844036697253,17.23147616312426,3.8226299694189603,0.0,162.46177370030634,166.2844036697253,0.010014608229953242,0,0,0
2026-01-05,2026-01-06,53190.0,53890.0,54220.0,418162.0,False,False,False,False,False,True,61.23585080719973,131.60368490317654,3.7112636852848393,0.0,57.52458712191489,61.23585080719973,0.01002364034981544,0,0,0
2026-01-06,2026-01-07,54220.0,54520.0,54210.0,209926.0,False,False,False,False,False,True,-56.85986793837139,55.330136481004374,3.6683785766691126,0.0,-60.5282465150405,-56.85986793837139,0.011668380597428269,0,0,0
2026-01-07,2026-01-08,54210.0,53950.0,53780.0,210222.0,False,False,False,False,False,True,-31.510658016682402,-47.96163069544335,3.707136237256719,0.0,-35.21779425393912,-31.510658016682402,0.01092481931529649,0,0,0
2026-01-08,2026-01-09,53780.0,53100.0,53430.0,259640.0,False,False,False,False,False,True,62.146892655368106,-126.44105615470468,3.766478342749529,0.0,58.380414312618576,62.146892655368106,0.010949975536265085,0,0,0
2026-01-09,2026-01-13,53430.0,53940.0,55940.0,201208.0,False,False,False,False,False,True,370.7823507601038,95.45199326221221,3.707823507601038,0.0,367.0745272525027,370.7823507601038,0.011617248265617455,0,0,0
2026-01-13,2026-01-14,55940.0,55640.0,56000.0,407336.0,False,False,False,False,False,True,64.70165348670065,-53.62888809438693,3.5945363048166787,0.0,61.10711718188397,64.70165348670065,0.012097704740482119,0,0,0
2026-01-14,2026-01-15,56000.0,56490.0,56070.0,343986.0,False,False,False,False,False,True,-74.34944237918239,87.50000000000036,3.540449637103912,0.0,-77.88989201628631,-74.34944237918239,0.013772444889454455,0,0,0
2026-01-15,2026-01-16,56070.0,56230.0,56180.0,252361.0,False,False,False,False,False,True,-8.892050506846827,28.535758872838546,3.5568202027387517,0.0,-12.448870709585579,-8.892050506846827,0.013768755766306779,0,0,0
2026-01-16,2026-01-19,56180.0,56060.0,55450.0,180184.0,False,False,False,False,False,True,-108.81198715661844,-21.359914560341586,3.567606136282554,0.0,-112.37959329290099,-108.81198715661844,0.013695723362131509,0,0,0
2026-01-19,2026-01-20,55450.0,55690.0,55480.0,353694.0,False,False,False,False,False,True,-37.70874483749353,43.28223624887384,3.591309032142216,0.0,-41.30005386963575,-37.70874483749353,0.01321386518273036,0,0,0
2026-01-20,2026-01-21,55480.0,55070.0,54070.0,375689.0,False,False,False,False,False,True,-181.58707100054517,-73.90050468637388,3.631741420010895,0.0,-185.21881242055605,-181.58707100054517,0.012736703253965337,0,0,0
2026-01-21,2026-01-22,54070.0,54800.0,55670.0,331932.0,False,False,False,False,False,True,158.75912408759075,135.01017199925914,3.6496350364963503,0.0,155.10948905109439,158.75912408759075,0.013184555136095842,0,0,0
2026-01-22,2026-01-23,55670.0,55770.0,56050.0,336504.0,False,False,False,False,False,True,50.20620405235876,17.962996227771644,3.5861574323112784,0.0,46.620046620047475,50.20620405235876,0.012971350591704124,0,0,0
