cascade_id,start_ms,end_ms,width_ms,n_events,total_size,direction,bar60_before_tie,bar60_before_path,bar60_before_internal_bp,bar60_after_shift_tie,bar60_after_shift_path,bar60_after_shift_internal_bp,trade_before_tie,trade_before_path,trade_before_internal_bp,trade_after_shift_tie,trade_after_shift_path,trade_after_shift_internal_bp
binance_cm_real_000159,1687983488625,1687983488625,0,1,389220.0,long,1,time_resolution,0.0,0,,8.982896,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000160,1687985271071,1687985271071,0,1,1354864.5,short,1,time_resolution,0.0,0,,17.394312,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000161,1687988248566,1687988248566,0,1,90447.0,short,1,time_resolution,0.0,0,,14.174133,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000162,1687999932191,1687999932191,0,1,240262.4,long,1,time_resolution,0.0,0,,-0.366166,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000163,1688001560936,1688001560936,0,1,603660.0,short,1,time_resolution,0.0,0,,5.567947,1,time_resolution,0.0,0,,-0.397572
binance_cm_real_000164,1688001640801,1688001659001,18200,2,815375.3,short,1,time_resolution,0.0,0,,9.37412,0,,8.412685,0,,8.412685
binance_cm_real_000165,1688015194306,1688015194306,0,1,241854.4,short,1,time_resolution,0.0,0,,5.395011,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000166,1688022505076,1688022505076,0,1,121115.6,short,1,time_resolution,0.0,0,,4.62576,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000167,1688022826936,1688022902720,75784,6,12437839.4,short,0,,31.947616,0,,22.310526,0,,28.559745,0,,28.559745
binance_cm_real_000168,1688027482693,1688027482693,0,1,700028.0,short,1,time_resolution,0.0,0,,2.169219,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000169,1688033592466,1688033618036,25570,4,220803767.6,short,1,time_resolution,0.0,0,,22.258335,0,,24.838403,0,,24.707156
binance_cm_real_000170,1688033817454,1688033830046,12592,2,1191908.3,short,0,,13.34225,0,,15.046911,0,,-0.621655,0,,-0.621655
binance_cm_real_000171,1688034014755,1688034073483,58728,2,5412542.8,short,0,,6.380598,0,,3.304822,0,,9.158857,0,,9.126147
binance_cm_real_000172,1688034309672,1688034365637,55965,3,7873982.0,short,0,,12.518385,0,,2.745547,0,,9.663728,0,,9.631081
binance_cm_real_000173,1688034618078,1688034618078,0,1,766442.5,short,1,time_resolution,0.0,0,,4.015723,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000174,1688034837078,1688034895240,58162,3,5430230.5,short,0,,11.815933,0,,15.536972,0,,3.716648,0,,3.716648
binance_cm_real_000175,1688034958409,1688034958409,0,1,1474320.0,short,1,time_resolution,0.0,0,,9.060037,1,time_resolution,0.0,1,time_resolution,0.0
