date,n_5min,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2025-09-23,288,87489.46890625,9839318554.693993,1.5750624793750008,1.8464574270833336,1.4981155143750002,1.198235354166667
2025-09-24,288,88288.18817361108,9966400251.382723,1.4789082789930559,1.777311850694445,1.4379929081249996,1.1638903645833336
2025-09-25,288,86716.3817430556,9638509682.241402,1.6900241715277773,1.8222803923611117,1.585775651944445,1.0537101562500002
2025-09-26,288,85516.72776736104,9350580728.675266,1.7531944866319433,1.9066507951388896,1.7932395258680554,1.088598357638889
2025-09-27,288,84891.17325347225,9285257484.589745,1.8071894162152782,1.9091951666666647,1.798926604479167,1.3135723368055552
2025-09-28,288,85269.39585416672,9368120607.537407,1.7263099996527782,1.7749557881944444,1.7208344415277776,1.2201693541666656
2025-09-29,288,87352.97690277777,9853719186.778131,1.3477008259027778,1.6103524548611108,1.2518985519791668,1.0842373958333327
2025-09-30,288,88734.27767708334,10087363701.995943,1.2187733299999994,1.6212938472222211,1.0738223115972212,1.1394629965277785
2025-10-01,288,90805.37041666667,10544367892.798904,1.010818773506944,1.5611285902777785,0.9034169744791668,1.1023976805555558
2025-10-02,288,92615.75185069448,11046238559.284721,0.8719826832986118,1.6346053090277786,0.7294089882638891,1.1691161006944444
2025-10-03,288,94999.60289583336,11491849437.155947,0.7980549243055555,1.726304215277778,0.6400992302777773,1.08911053125
2025-10-04,288,96076.24626041662,11729063753.913412,0.7791397417013897,1.750712802083334,0.6229148115972218,1.1608492499999996
2025-10-05,288,99282.89534374999,12250335057.289377,0.7640258820486117,1.7810112673611103,0.6254787415277782,1.227472982638889
2025-10-06,288,99395.82009027782,12364077854.761066,0.7477215867708336,1.797279756944444,0.6171865369444443,1.1233889895833333
2025-10-07,288,96969.05878125,11950080782.262922,0.8390784497916665,1.8464457673611112,0.6693008912500001,1.100645229166667
2025-10-08,288,92862.25588888883,11373183754.525137,0.8710512915625002,1.7856221180555538,0.7601340564583337,1.1944511458333331
2025-10-09,288,94275.20362500002,11474993915.4188,0.9683699052777774,1.7746542534722207,0.8031342369444446,1.097058104166667
2025-10-10,288,93528.58668402772,11185134688.814337,1.1658198653472223,1.5938510312499998,0.9871262421527786,1.0734173958333324
2025-10-11,288,74032.78985763893,8268732725.8770685,1.4988079221180548,1.8651347187499994,1.3341366801041665,0.9183398472222222
2025-10-12,288,73167.96170486113,8224701845.7431965,1.6145576790972216,1.810588246527776,1.5320476737152793,1.0185460833333329
2025-10-13,288,76699.02210763887,8816865405.21841,1.587841196076389,1.4649958194444443,1.4240972977430555,1.0171931770833333
2025-10-14,288,78051.50176736116,8780550102.765923,1.8640908353819452,1.473533552083333,1.6358347160069446,1.0214965312500002
2025-10-15,288,79148.48045486108,8846830206.210197,1.9346959158680557,1.3648919965277766,1.7362716432291667,1.0758540972222224
2025-10-16,288,79023.83497916671,8693301594.216959,2.292320116805557,1.2288872256944443,2.136511375208332,1.1259281354166664
2025-10-17,288,80026.87424652779,8543268766.334398,2.5206728287847224,1.1783954861111121,2.303696281215279,1.043424048611112
2025-10-18,288,81854.82954166665,8747119887.931746,2.362022667743057,1.0510736249999997,2.152427617951389,1.1355703229166665
2025-10-19,288,81254.45934722223,8756318085.306099,2.3551156801736095,1.0276863506944443,2.1522336055902764,1.1176601249999996
2025-10-20,288,81909.69680555549,9042596408.222864,1.9941995472569447,1.0028002777777787,1.8256164763888885,1.076723486111111
2025-10-21,288,83197.3327361111,9125903282.181673,2.1097961168750006,0.9690727986111116,1.8720149045486112,1.1130846111111108
2025-10-22,288,79474.36078819439,8580936205.196501,2.38910687684028,0.9760980937499999,2.2433037371180578,1.132306638888889
2025-10-23,288,76748.04299999998,8392761309.047019,2.134404234861112,1.060232180555556,2.0118372633680566,1.0604921909722222
