date_t,date_t1,open_t,close_t,open_t1,r_day_bps,r_night_bps,band_price_t,tick_yen,cost_cons_bps,net_opt_bps,net_cons_bps,flag_null_t,flag_null_t1,flag_ghost_t,flag_ghost_t1,flag_split_t,flag_split_t1,flag_badprint_t,flag_badprint_t1,excluded,valid_raw,clean,weekday,month,era,vol20,vol_tercile
2026-03-06,2026-03-09,33410.0,33810.0,32040.0,119.72463334330996,-523.5137533274182,33810.0,10.0,5.915409642117716,-523.5137533274182,-529.4291629695359,False,False,False,False,False,False,False,False,False,True,True,4,3,era3,96.64297864363998,high
2026-03-09,2026-03-10,32040.0,32590.0,33170.0,171.6604244694131,177.96870205584625,32590.0,10.0,6.13685179502915,177.96870205584625,171.8318502608171,False,False,False,False,False,False,False,False,False,True,True,0,3,era3,102.63456787552036,high
2026-03-10,2026-03-11,33170.0,33160.0,33600.0,-3.0147723846851715,132.68998793727337,33160.0,10.0,6.0313630880579,132.68998793727337,126.65862484921547,False,False,False,False,False,False,False,False,False,True,True,1,3,era3,99.22299127641973,high
2026-03-11,2026-03-12,33600.0,33520.0,33310.0,-23.809523809523725,-62.649164677803796,33520.0,10.0,5.966587112171838,-62.649164677803796,-68.61575178997563,False,False,False,False,False,False,False,False,False,True,True,2,3,era3,95.98067157054147,high
2026-03-12,2026-03-13,33310.0,33270.0,32920.0,-12.008405884118556,-105.19987977156586,33270.0,10.0,6.011421701232341,-105.19987977156586,-111.2113014727982,False,False,False,False,False,False,False,False,False,True,True,3,3,era3,91.58915584626503,high
2026-03-13,2026-03-16,32920.0,33030.0,32740.0,33.41433778857761,-87.79897063275754,33030.0,10.0,6.055101422948834,-87.79897063275754,-93.85407205570638,False,False,False,False,False,False,False,False,False,True,True,4,3,era3,91.20218661938007,high
2026-03-16,2026-03-17,32740.0,32810.0,33300.0,21.38057422113704,149.34471197805442,32810.0,10.0,6.095702529716549,149.34471197805442,143.24900944833786,False,False,False,False,False,False,False,False,False,True,True,0,3,era3,86.82277113318179,high
2026-03-17,2026-03-18,33300.0,33070.0,33260.0,-69.06906906906873,57.45388569700527,33070.0,10.0,6.047777441790142,57.45388569700527,51.40610825521513,False,False,False,False,False,False,False,False,False,True,True,1,3,era3,84.3007061776968,high
2026-03-18,2026-03-19,33260.0,33860.0,33300.0,180.39687312086494,-165.38688718251592,33860.0,10.0,5.9066745422327225,-165.38688718251592,-171.29356172474866,False,False,False,False,False,False,False,False,False,True,True,2,3,era3,88.96862276567155,high
2026-03-19,2026-03-23,33300.0,32910.0,31970.0,-117.11711711711703,-285.62746885445137,32910.0,10.0,6.077180188392585,-285.62746885445137,-291.7046490428439,False,False,False,False,False,False,False,False,False,True,True,3,3,era3,94.6102167242916,high
