date_prev,date,close_prev,close,r,r_bps,nights,tick_yen,cost_bps_cons,cost_bps_opt,r_net_bps_cons,r_net_bps_opt,pnl_yen_cons,price_scale_splice,is_TOM,is_WD-Mon,is_WD-Tue,is_WD-Wed,is_WD-Thu,is_WD-Fri,is_PH,is_SQm,is_SQq,split,decade,year
2012-05-16,2012-05-17,758.0,767.0,0.01187335092348274,118.7335092348274,1,,,,,,,False,False,False,False,False,True,False,False,False,False,val,2010s,2012
2012-05-17,2012-05-18,767.0,747.0,-0.026075619295958252,-260.7561929595825,1,,,,,,,False,False,False,False,False,False,True,False,False,False,val,2010s,2012
2012-05-18,2012-05-21,747.0,746.0,-0.0013386880856760541,-13.386880856760541,3,,,,,,,False,False,True,False,False,False,False,False,False,False,val,2010s,2012
2012-05-21,2012-05-22,746.0,751.0,0.006702412868632601,67.02412868632601,1,,,,,,,False,False,False,True,False,False,False,False,False,False,val,2010s,2012
2012-05-22,2012-05-23,751.0,742.0,-0.011984021304926817,-119.84021304926817,1,,,,,,,False,False,False,False,True,False,False,False,False,False,val,2010s,2012
2012-05-23,2012-05-24,742.0,740.0,-0.0026954177897574594,-26.954177897574596,1,,,,,,,False,False,False,False,False,True,False,False,False,False,val,2010s,2012
2012-05-24,2012-05-25,740.0,740.0,0.0,0.0,1,,,,,,,False,False,False,False,False,False,True,False,False,False,val,2010s,2012
2012-05-25,2012-05-28,740.0,739.0,-0.0013513513513513375,-13.513513513513375,3,,,,,,,False,False,True,False,False,False,False,False,False,False,val,2010s,2012
2012-05-28,2012-05-29,739.0,746.0,0.009472259810554773,94.72259810554773,1,,,,,,,False,False,False,True,False,False,False,False,False,False,val,2010s,2012
2012-05-29,2012-05-30,746.0,743.0,-0.004021447721179627,-40.21447721179627,1,,,,,,,False,False,False,False,True,False,False,False,False,False,val,2010s,2012
2012-05-30,2012-05-31,743.0,735.0,-0.010767160161507361,-107.67160161507361,1,,,,,,,False,True,False,False,False,True,False,False,False,False,val,2010s,2012
2012-05-31,2012-06-01,735.0,729.0,-0.008163265306122436,-81.63265306122436,1,,,,,,,False,True,False,False,False,False,True,False,False,False,val,2010s,2012
2012-06-01,2012-06-04,729.0,714.0,-0.020576131687242816,-205.76131687242815,3,,,,,,,False,True,True,False,False,False,False,False,False,False,val,2010s,2012
2012-06-04,2012-06-05,714.0,728.0,0.019607843137254832,196.07843137254832,1,,,,,,,False,True,False,True,False,False,False,False,False,False,val,2010s,2012
2012-06-05,2012-06-06,728.0,738.0,0.013736263736263687,137.36263736263686,1,,,,,,,False,False,False,False,True,False,False,False,False,False,val,2010s,2012
2012-06-06,2012-06-07,738.0,748.0,0.013550135501354976,135.50135501354976,1,,,,,,,False,False,False,False,False,True,False,False,False,False,val,2010s,2012
2012-06-07,2012-06-08,748.0,735.0,-0.017379679144384985,-173.79679144384986,1,,,,,,,False,False,False,False,False,False,True,False,True,True,val,2010s,2012
2012-06-08,2012-06-11,735.0,749.0,0.01904761904761898,190.4761904761898,3,,,,,,,False,False,True,False,False,False,False,False,False,False,val,2010s,2012
2012-06-11,2012-06-12,749.0,742.0,-0.009345794392523366,-93.45794392523365,1,,,,,,,False,False,False,True,False,False,False,False,False,False,val,2010s,2012
2012-06-12,2012-06-13,742.0,744.0,0.0026954177897573484,26.954177897573484,1,,,,,,,False,False,False,False,True,False,False,False,False,False,val,2010s,2012
2012-06-13,2012-06-14,744.0,746.0,0.0026881720430107503,26.881720430107503,1,,,,,,,False,False,False,False,False,True,False,False,False,False,val,2010s,2012
2012-06-14,2012-06-15,746.0,743.0,-0.004021447721179627,-40.21447721179627,1,,,,,,,False,False,False,False,False,False,True,False,False,False,val,2010s,2012
2012-06-15,2012-06-18,743.0,759.0,0.021534320323014722,215.34320323014722,3,,,,,,,False,False,True,False,False,False,False,False,False,False,val,2010s,2012
2012-06-18,2012-06-19,759.0,754.0,-0.006587615283267456,-65.87615283267456,1,,,,,,,False,False,False,True,False,False,False,False,False,False,val,2010s,2012
2012-06-19,2012-06-20,754.0,765.0,0.01458885941644561,145.8885941644561,1,,,,,,,False,False,False,False,True,False,False,False,False,False,val,2010s,2012
2012-06-20,2012-06-21,765.0,775.0,0.013071895424836555,130.71895424836555,1,,,,,,,False,False,False,False,False,True,False,False,False,False,val,2010s,2012
2012-06-21,2012-06-22,775.0,771.0,-0.005161290322580614,-51.612903225806136,1,,,,,,,False,False,False,False,False,False,True,False,False,False,val,2010s,2012
2012-06-22,2012-06-25,771.0,766.0,-0.006485084306095956,-64.85084306095956,3,,,,,,,False,False,True,False,False,False,False,False,False,False,val,2010s,2012
2012-06-25,2012-06-26,766.0,759.0,-0.009138381201044377,-91.38381201044376,1,,,,,,,False,False,False,True,False,False,False,False,False,False,val,2010s,2012
2012-06-26,2012-06-27,759.0,767.0,0.010540184453228019,105.4018445322802,1,,,,,,,False,False,False,False,True,False,False,False,False,False,val,2010s,2012
2012-06-27,2012-06-28,767.0,777.0,0.01303780964797907,130.3780964797907,1,,,,,,,False,False,False,False,False,True,False,False,False,False,val,2010s,2012
2012-06-28,2012-06-29,777.0,793.0,0.0205920205920207,205.920205920207,1,,,,,,,False,True,False,False,False,False,True,False,False,False,val,2010s,2012
2012-06-29,2012-07-02,793.0,792.0,-0.0012610340479193294,-12.610340479193294,3,,,,,,,False,True,True,False,False,False,False,False,False,False,val,2010s,2012
2012-07-02,2012-07-03,792.0,800.0,0.010101010101010166,101.01010101010166,1,,,,,,,False,True,False,True,False,False,False,False,False,False,val,2010s,2012
2012-07-03,2012-07-04,800.0,801.0,0.0012499999999999734,12.499999999999734,1,,,,,,,False,True,False,False,True,False,False,False,False,False,val,2010s,2012
2012-07-04,2012-07-05,801.0,797.0,-0.004993757802746579,-49.93757802746579,1,,,,,,,False,False,False,False,False,True,False,False,False,False,val,2010s,2012
2012-07-05,2012-07-06,797.0,777.0,-0.025094102885821812,-250.94102885821812,1,,,,,,,False,False,False,False,False,False,True,False,False,False,val,2010s,2012
2012-07-06,2012-07-09,777.0,770.9044189453125,-0.007845020662403446,-78.45020662403445,3,,,,,,,False,False,True,False,False,False,False,False,False,False,val,2010s,2012
2012-07-09,2012-07-10,770.9044189453125,766.0,-0.006361902753161397,-63.619027531613966,1,,,,,,,False,False,False,True,False,False,False,False,False,False,val,2010s,2012
2012-07-10,2012-07-11,766.0,765.0,-0.0013054830287205776,-13.054830287205776,1,,,,,,,False,False,False,False,True,False,False,False,False,False,val,2010s,2012
2012-07-11,2012-07-12,765.0,754.0,-0.01437908496732021,-143.7908496732021,1,,,,,,,False,False,False,False,False,True,False,False,False,False,val,2010s,2012
2012-07-12,2012-07-13,754.0,753.0,-0.0013262599469495706,-13.262599469495706,1,,,,,,,False,False,False,False,False,False,True,True,True,False,val,2010s,2012
2012-07-13,2012-07-17,753.0,747.0,-0.007968127490039834,-79.68127490039834,4,,,,,,,False,False,False,True,False,False,False,False,False,False,val,2010s,2012
2012-07-17,2012-07-18,747.0,746.0,-0.0013386880856760541,-13.386880856760541,1,,,,,,,False,False,False,False,True,False,False,False,False,False,val,2010s,2012
2012-07-18,2012-07-19,746.0,752.0,0.008042895442359255,80.42895442359254,1,,,,,,,False,False,False,False,False,True,False,False,False,False,val,2010s,2012
2012-07-19,2012-07-20,752.0,739.0,-0.017287234042553168,-172.8723404255317,1,,,,,,,False,False,False,False,False,False,True,False,False,False,val,2010s,2012
2012-07-20,2012-07-23,739.0,726.0,-0.017591339648173165,-175.91339648173167,3,,,,,,,False,False,True,False,False,False,False,False,False,False,val,2010s,2012
2012-07-23,2012-07-24,726.0,724.0,-0.0027548209366391463,-27.54820936639146,1,,,,,,,False,False,False,True,False,False,False,False,False,False,val,2010s,2012
2012-07-24,2012-07-25,724.0,711.0,-0.017955801104972413,-179.55801104972414,1,,,,,,,False,False,False,False,True,False,False,False,False,False,val,2010s,2012
2012-07-25,2012-07-26,711.0,720.0,0.012658227848101333,126.58227848101333,1,,,,,,,False,False,False,False,False,True,False,False,False,False,val,2010s,2012
2012-07-26,2012-07-27,720.0,732.0,0.016666666666666607,166.66666666666606,1,,,,,,,False,False,False,False,False,False,True,False,False,False,val,2010s,2012
