date_prev,date,close_prev,close,r,r_bps,nights,close_prev_day_session,cost_bps_cons,cost_bps_opt,r_net_bps_cons,r_net_bps_opt,pnl_yen_cons,cost_bps_cons_fullday_base,sq_adjacent_excluded,is_TOM,is_WD-Mon,is_WD-Tue,is_WD-Wed,is_WD-Thu,is_WD-Fri,is_PH,is_SQm,is_SQq,split,decade,year,vol20,state_vol,state_prev_sign,state_regime,state_nights
1995-03-08,1995-03-09,16620.0,16700.0,0.004813477737665384,48.13477737665384,1,16620.0,7.340553549939831,1.3237063778580023,40.794223826714,46.811070998795834,678.0,7.340553549939831,True,False,False,False,False,True,False,False,False,False,train,1990s,1995,0.014275156998234912,2_中,1_非正,1990s,1_1泊
1995-03-09,1995-03-10,16700.0,16360.0,-0.02035928143712573,-203.5928143712573,1,16700.0,7.305389221556886,1.3173652694610778,-210.89820359281418,-204.91017964071838,-3522.0,7.305389221556886,True,False,False,False,False,False,True,False,True,True,train,1990s,1995,0.014432903082880578,2_中,2_正,1990s,1_1泊
1995-03-10,1995-03-13,16360.0,16450.0,0.005501222493887514,55.01222493887514,3,16360.0,7.45721271393643,1.3447432762836184,47.555012224938714,53.66748166259153,778.0,7.45721271393643,True,False,True,False,False,False,False,False,False,False,train,1990s,1995,0.014643438717393124,2_中,1_非正,1990s,2_2〜3泊
1995-03-13,1995-03-14,16450.0,16270.0,-0.010942249240121549,-109.4224924012155,1,16450.0,7.416413373860182,1.3373860182370823,-116.83890577507567,-110.75987841945258,-1922.0,7.416413373860182,False,False,False,True,False,False,False,False,False,False,train,1990s,1995,0.014705355968792438,2_中,2_正,1990s,1_1泊
1995-03-14,1995-03-15,16270.0,16710.0,0.02704363859864789,270.4363859864789,1,16270.0,7.498463429625077,1.352181929932391,262.93792255685383,269.0842040565465,4278.0,7.498463429625077,False,False,False,False,True,False,False,False,False,False,train,1990s,1995,0.014706977209077514,2_中,1_非正,1990s,1_1泊
1995-03-15,1995-03-16,16710.0,16450.0,-0.015559545182525447,-155.5954518252545,1,16710.0,7.301017354877319,1.3165769000598442,-162.89646918013182,-156.91202872531434,-2722.0,7.301017354877319,False,False,False,False,False,True,False,False,False,False,train,1990s,1995,0.016334468499003944,3_高,2_正,1990s,1_1泊
1995-03-16,1995-03-17,16450.0,16240.0,-0.012765957446808529,-127.6595744680853,1,16450.0,7.416413373860182,1.3373860182370823,-135.07598784194548,-128.99696048632237,-2222.0,7.416413373860182,False,False,False,False,False,False,True,False,False,False,train,1990s,1995,0.016541009709919605,3_高,1_非正,1990s,1_1泊
1995-03-17,1995-03-20,16240.0,16180.0,-0.003694581280788145,-36.94581280788145,3,16240.0,7.512315270935961,1.3546798029556648,-44.45812807881741,-38.30049261083712,-722.0,7.512315270935961,False,False,True,False,False,False,False,True,False,False,train,1990s,1995,0.016299633617328984,3_高,1_非正,1990s,2_2〜3泊
1995-03-20,1995-03-22,16180.0,16070.0,-0.0067985166872682745,-67.98516687268274,2,16180.0,7.5401730531520395,1.3597033374536465,-75.52533992583479,-69.34487021013639,-1222.0,7.5401730531520395,False,False,False,False,True,False,False,False,False,False,train,1990s,1995,0.016300455794495662,3_高,1_非正,1990s,2_2〜3泊
1995-03-22,1995-03-23,16070.0,15790.0,-0.017423771001866872,-174.23771001866874,1,16070.0,7.591785936527691,1.3690105787181082,-181.82949595519642,-175.60672059738684,-2922.0,7.591785936527691,False,False,False,False,False,True,False,False,False,False,train,1990s,1995,0.015932296353547336,3_高,1_非正,1990s,1_1泊
1995-03-23,1995-03-24,15790.0,15790.0,0.0,0.0,1,15790.0,7.72640911969601,1.3932868904369855,-7.72640911969601,-1.3932868904369855,-122.0,7.72640911969601,False,False,False,False,False,False,True,False,False,False,train,1990s,1995,0.016061163064975327,3_高,1_非正,1990s,1_1泊
1995-03-24,1995-03-27,15790.0,16070.0,0.017732742241925337,177.32742241925337,3,15790.0,7.72640911969601,1.3932868904369855,169.60101329955737,175.93413552881637,2678.0,7.72640911969601,False,False,True,False,False,False,False,False,False,False,train,1990s,1995,0.01585750507321175,3_高,1_非正,1990s,2_2〜3泊
1995-03-27,1995-03-28,16070.0,16680.0,0.037958929682638365,379.58929682638365,1,16070.0,7.591785936527691,1.3690105787181082,371.99751088985596,378.2202862476655,5978.0,7.591785936527691,False,False,False,True,False,False,False,False,False,False,train,1990s,1995,0.016578728147724372,3_高,2_正,1990s,1_1泊
