属性,群,下限,上限,m の群,T(秒),h(秒),群の束数,属性が欠測で群に入らない束の割合,n,含む日数,r_end 平均(bp),r_end 日クラスタ SE,r_end naive SE,日クラスタ/naive,r_end 日等重み平均,次の束が 120 秒以内の割合,次の束が 120 秒以内の母数,次の束の間隔が無い束,r_end > 0 の割合,r_end > 0 の母数
bundle_total_notional,Q2(中位 3 分位),775945.066667,5908686.266667,Q3(上位 3 分位),60,900,2253,0.000000,2253,383,-8.651054,0.980255,1.081300,0.906552,-9.000297,0.183371,2225,28,0.383045,2253
bundle_total_notional,Q3(上位 3 分位),5908686.266667,,Q1(下位 3 分位),60,60,1822,0.000000,1822,408,-6.641137,0.265400,0.256338,1.035351,-6.359570,0.170595,1782,40,0.264544,1822
bundle_total_notional,Q3(上位 3 分位),5908686.266667,,Q1(下位 3 分位),60,300,1822,0.000000,1822,408,-7.505933,0.571191,0.553695,1.031599,-7.954228,0.170595,1782,40,0.329857,1822
bundle_total_notional,Q3(上位 3 分位),5908686.266667,,Q1(下位 3 分位),60,900,1822,0.000000,1822,408,-7.929786,0.860538,0.854802,1.006710,-8.770657,0.170595,1782,40,0.364435,1822
bundle_total_notional,Q3(上位 3 分位),5908686.266667,,Q2(中位 3 分位),60,60,2259,0.000000,2259,405,-9.310967,0.302693,0.281909,1.073723,-9.196416,0.190347,2217,42,0.208057,2259
bundle_total_notional,Q3(上位 3 分位),5908686.266667,,Q2(中位 3 分位),60,300,2259,0.000000,2259,405,-8.933282,0.601114,0.628749,0.956048,-10.025297,0.190347,2217,42,0.328021,2259
bundle_total_notional,Q3(上位 3 分位),5908686.266667,,Q2(中位 3 分位),60,900,2259,0.000000,2259,405,-9.159425,0.958788,0.943404,1.016307,-10.989252,0.190347,2217,42,0.370075,2259
bundle_total_notional,Q3(上位 3 分位),5908686.266667,,Q3(上位 3 分位),60,60,2985,0.000000,2985,394,-14.151384,0.424353,0.311788,1.361028,-12.764380,0.201017,2950,35,0.152094,2985
bundle_total_notional,Q3(上位 3 分位),5908686.266667,,Q3(上位 3 分位),60,300,2985,0.000000,2985,394,-15.218931,0.678983,0.682041,0.995517,-14.614959,0.201017,2950,35,0.307203,2985
bundle_total_notional,Q3(上位 3 分位),5908686.266667,,Q3(上位 3 分位),60,900,2985,0.000000,2985,394,-15.377078,1.196498,1.139578,1.049948,-17.689552,0.201017,2950,35,0.337353,2985
|dist_node_bp|,Q1(下位 3 分位),,25.870067,Q1(下位 3 分位),60,60,2757,0.000000,2757,443,-2.203184,0.133134,0.124324,1.070858,-2.153499,0.126787,2658,99,0.363439,2757
|dist_node_bp|,Q1(下位 3 分位),,25.870067,Q1(下位 3 分位),60,300,2757,0.000000,2757,443,-2.853195,0.287734,0.284684,1.010711,-2.732817,0.126787,2658,99,0.390642,2757
|dist_node_bp|,Q1(下位 3 分位),,25.870067,Q1(下位 3 分位),60,900,2757,0.000000,2757,443,-3.273935,0.530664,0.495166,1.071690,-3.451832,0.126787,2658,99,0.413130,2757
|dist_node_bp|,Q1(下位 3 分位),,25.870067,Q2(中位 3 分位),60,60,2332,0.000000,2332,417,-3.892353,0.198106,0.190162,1.041775,-3.737183,0.145367,2277,55,0.320755,2332
|dist_node_bp|,Q1(下位 3 分位),,25.870067,Q2(中位 3 分位),60,300,2332,0.000000,2332,417,-3.540326,0.407478,0.414734,0.982504,-3.748201,0.145367,2277,55,0.391509,2332
|dist_node_bp|,Q1(下位 3 分位),,25.870067,Q2(中位 3 分位),60,900,2332,0.000000,2332,417,-4.387231,0.687810,0.711131,0.967206,-4.314425,0.145367,2277,55,0.415094,2332
|dist_node_bp|,Q1(下位 3 分位),,25.870067,Q3(上位 3 分位),60,60,1977,0.000000,1977,360,-7.164043,0.371078,0.292081,1.270462,-6.473562,0.147271,1942,35,0.267071,1977
|dist_node_bp|,Q1(下位 3 分位),,25.870067,Q3(上位 3 分位),60,300,1977,0.000000,1977,360,-7.519574,0.644594,0.646924,0.996400,-7.733332,0.147271,1942,35,0.371775,1977
|dist_node_bp|,Q1(下位 3 分位),,25.870067,Q3(上位 3 分位),60,900,1977,0.000000,1977,360,-9.065695,1.211430,1.092329,1.109034,-9.545776,0.147271,1942,35,0.381386,1977
|dist_node_bp|,Q2(中位 3 分位),25.870067,60.772800,Q1(下位 3 分位),60,60,2625,0.000000,2625,448,-3.916254,0.167320,0.158256,1.057272,-3.913487,0.153636,2558,67,0.293333,2625
|dist_node_bp|,Q2(中位 3 分位),25.870067,60.772800,Q1(下位 3 分位),60,300,2625,0.000000,2625,448,-4.569225,0.356773,0.345561,1.032445,-4.733186,0.153636,2558,67,0.351238,2625
|dist_node_bp|,Q2(中位 3 分位),25.870067,60.772800,Q1(下位 3 分位),60,900,2625,0.000000,2625,448,-5.135346,0.672420,0.546255,1.230963,-5.550854,0.153636,2558,67,0.376762,2625
|dist_node_bp|,Q2(中位 3 分位),25.870067,60.772800,Q2(中位 3 分位),60,60,2440,0.000000,2440,433,-5.664594,0.205491,0.189640,1.083585,-5.726749,0.162411,2389,51,0.242213,2440
|dist_node_bp|,Q2(中位 3 分位),25.870067,60.772800,Q2(中位 3 分位),60,300,2440,0.000000,2440,433,-6.238556,0.425493,0.415495,1.024062,-6.816194,0.162411,2389,51,0.324590,2440
|dist_node_bp|,Q2(中位 3 分位),25.870067,60.772800,Q2(中位 3 分位),60,900,2440,0.000000,2440,433,-7.252874,0.743972,0.668006,1.113721,-8.100489,0.162411,2389,51,0.347951,2440
|dist_node_bp|,Q2(中位 3 分位),25.870067,60.772800,Q3(上位 3 分位),60,60,2001,0.000000,2001,410,-9.637256,0.335884,0.284631,1.180070,-9.240957,0.160569,1968,33,0.187406,2001
|dist_node_bp|,Q2(中位 3 分位),25.870067,60.772800,Q3(上位 3 分位),60,300,2001,0.000000,2001,410,-10.720156,0.672252,0.649539,1.034968,-10.625395,0.160569,1968,33,0.315842,2001
|dist_node_bp|,Q2(中位 3 分位),25.870067,60.772800,Q3(上位 3 分位),60,900,2001,0.000000,2001,410,-11.478327,1.163142,1.035446,1.123325,-12.159678,0.160569,1968,33,0.346327,2001
|dist_node_bp|,Q3(上位 3 分位),60.772800,,Q1(下位 3 分位),60,60,1684,0.000000,1684,372,-6.786950,0.281672,0.259513,1.085387,-6.716428,0.209246,1644,40,0.257720,1684
|dist_node_bp|,Q3(上位 3 分位),60.772800,,Q1(下位 3 分位),60,300,1684,0.000000,1684,372,-7.247282,0.653720,0.598981,1.091386,-7.517306,0.209246,1644,40,0.345606,1684
|dist_node_bp|,Q3(上位 3 分位),60.772800,,Q1(下位 3 分位),60,900,1684,0.000000,1684,372,-7.687524,1.098240,0.959340,1.144787,-9.126505,0.209246,1644,40,0.361639,1684
|dist_node_bp|,Q3(上位 3 分位),60.772800,,Q2(中位 3 分位),60,60,2294,0.000000,2294,376,-8.700605,0.285782,0.265771,1.075292,-8.851221,0.217237,2251,43,0.212729,2294
|dist_node_bp|,Q3(上位 3 分位),60.772800,,Q2(中位 3 分位),60,300,2294,0.000000,2294,376,-8.107087,0.656293,0.627155,1.046461,-9.483091,0.217237,2251,43,0.350044,2294
