draw,seconds,max_mean_net_bps_full,max_sharpe_full,min_n_full,max_mean_net_bps_train,max_sharpe_train,min_n_train,max_mean_net_bps_val,max_sharpe_val,min_n_val
1557,1.1459141469968017,-3.052025774060051,-1.5205315649319457,8378,-2.450568875664356,-1.2710587965613964,5754,-3.748110861507729,-2.785503268550062,2624
1558,1.1409949519875227,-3.4913919981970767,-3.043961669925854,8399,-3.440811648154513,-3.1305751888781295,5960,-3.1447289012015283,-3.131889703473029,2439
1559,1.2257614080008352,-3.4972415021479923,-1.9570406341417335,8338,-3.8126975367398566,-1.7954034934270053,5904,-2.4219566439663205,-2.459273842642179,2434
1560,1.2258096909936285,-3.8309788942868646,-2.9155480082530176,8404,-3.7984067510439985,-2.462487136188606,5712,-3.5607204451533434,-4.64029968612419,2692
1561,1.3227829099923838,-3.7798899654360567,-2.9800174833281985,8414,-3.825361318763326,-2.9131524391002137,6073,-3.53078176286127,-3.654815907581908,2341
1562,1.1537817400094355,-3.6267422257407653,-2.879310834002024,8370,-3.5087274351709916,-2.4339336101214215,5816,-3.6933054406305077,-4.5611890531791826,2554
1563,1.2695576650003204,-3.7721955821545845,-2.8455899982655266,8394,-3.783370881980951,-2.5019747152374987,5869,-3.7419860558627667,-4.307712716561223,2525
1564,1.125631205009995,-3.384198159947671,-3.121408059111307,8404,-3.2348028720730544,-2.9257157569099026,5720,-3.394917862978205,-4.028319974142416,2684
1565,1.1238576620089589,-3.6383670423879044,-2.7264298654835657,8380,-3.684657686973417,-2.8297538671697455,5876,-3.417715532681644,-2.1651048069973235,2504
1566,1.101140085986117,-3.2396316726550514,-2.1159844861253227,8337,-3.122668097312521,-2.3775253261707507,6033,-2.2841389359217223,-1.3852489861196993,2304
1567,1.1288117540098028,-3.663828128801707,-2.637966652386517,8392,-3.714846811630206,-2.5959755943639125,6148,-3.4278805749782912,-2.975371000400022,2244
1568,1.1420170920027886,-3.9972230768760353,-3.23047574158073,8315,-3.9331695322383466,-2.890422347361131,5655,-4.0148982782103,-4.669875497203772,2660
1569,1.1200751290016342,-3.261977626961757,-2.106551338273483,8274,-3.101101744164681,-1.7933696738638998,5590,-3.4930081150100003,-3.2771650423586878,2684
1570,1.1667405790067278,-4.04547708694122,-2.612184071999215,8423,-4.026626667007775,-2.115104121057773,5644,-3.8060852442360726,-4.352363687544617,2779
1571,1.177667083000415,-3.4115581994060897,-2.439125466558146,8353,-3.391085465827544,-2.2259320423007263,5912,-3.418299516732,-3.528719127040626,2441
1572,1.1426382650097366,-3.4734177340948786,-2.6118335390993868,8325,-3.4815495523962237,-2.8212440095023954,5793,-3.0878084919063733,-2.108515867843735,2532
1573,1.2242236040037824,-3.3410421050631682,-2.8638803175796075,8426,-3.378298656730586,-2.415166513595127,5959,-3.2490952289939306,-3.099773211783022,2467
