draw,mean_net_bps,sharpe,n
546,-4.284024171542387,-4.636021267649409,24377
547,-4.973306494432003,-4.650463038985568,24360
548,-4.775093992351412,-4.157398910250052,24373
549,-5.398585316140018,-4.748148297722116,24363
550,-4.511470420193959,-4.300448030130595,24355
551,-3.7634257079061446,-3.329617904472528,24373
552,-4.947600342429193,-4.395145355276006,24381
553,-4.801772301214606,-4.066021372635602,24364
554,-4.477948776611175,-4.372368370697146,24340
555,-4.568234546938052,-4.168058532767858,24364
556,-4.2811917089660145,-3.9058980859788504,24351
557,-5.070565436920515,-4.758394270107485,24348
558,-4.239618759421191,-3.889568710071944,24367
559,-4.281427685550591,-4.234173669796478,24366
560,-4.534094794224349,-4.232445633446459,24358
561,-4.788591635771106,-4.1547521088135095,24350
562,-5.325170275208055,-5.463839393004725,24388
563,-4.249961594570955,-4.1116473059196865,24365
564,-4.003653379385485,-3.9755070464689686,24363
565,-4.867938214223177,-4.392671781695922,24384
566,-4.299361841591033,-4.160021804555704,24345
567,-4.918433446349282,-4.5055469790478515,24362
568,-5.055376659654205,-4.5435974155455146,24365
569,-3.757281854328691,-3.416525047998374,24373
570,-4.634331733715916,-4.476397452356188,24391
571,-5.150130310324989,-5.110836045759489,24347
572,-5.371846570350615,-4.645895060475081,24366
573,-4.725832771381495,-4.726849630521728,24339
574,-4.959856042765883,-4.753611576582815,24393
575,-4.624809305141066,-4.351615371689231,24359
576,-3.8431485605977493,-3.5037895083463986,24388
