draw,mean_net_bps,sharpe,n
482,-3.690532882180623,-7.449036956539231,63862
483,-4.0148700340563925,-8.023277696009947,63863
484,-3.8981176694692588,-8.274052859592272,63888
485,-3.454856234405559,-7.258055464674166,63899
486,-4.099646547297995,-8.534239878162515,63856
487,-3.5709455218331265,-6.919663342813079,63863
488,-3.933173511223521,-7.453966194918871,63858
489,-3.712663400626326,-7.297349346760991,63881
490,-3.8456361952063673,-7.439938348365265,63859
491,-3.7013617539367245,-7.799383331484658,63883
492,-3.7452332785222926,-7.116154543638847,63852
493,-3.996066462576963,-8.07517389005912,63830
494,-4.365494295323246,-9.250676991255652,63842
495,-3.3685598549089733,-7.106608825649599,63840
496,-3.5888456387182117,-7.12494015229331,63909
497,-3.8016336282486973,-7.6192512814928435,63847
498,-3.6974358970441297,-7.293483984603627,63845
499,-3.9970462174363623,-7.82550573031013,63865
500,-3.9500803514535097,-7.763961829069429,63861
501,-4.093343097676836,-8.763215614799693,63866
502,-4.50873081403481,-8.866456031070674,63869
503,-3.4893834912794723,-6.440752157294312,63907
504,-3.7784121633622583,-7.537714177420251,63887
505,-4.079703512328694,-8.256836013156924,63869
506,-3.848140106679984,-7.41484283525716,63854
507,-3.9245505047460276,-7.9303360181235005,63894
508,-3.7436357303814813,-6.995551187513253,63881
509,-3.6935258960325124,-7.501992461315475,63882
510,-3.48031023596681,-7.137166189871188,63892
511,-4.013151537243181,-7.85277295158364,63844
512,-3.847921772814458,-7.634887692725142,63827
513,-3.7005503544951033,-7.244379755997186,63867
514,-3.661537787718025,-7.292986642083353,63869
515,-3.831774216158526,-8.072736561620587,63876
516,-4.0521963241777055,-8.517930131055195,63914
517,-3.6873774253103226,-7.407764522215389,63852
518,-3.9935715974403103,-7.924968661413758,63890
519,-3.8432801970121178,-7.479444010716848,63867
520,-3.892159082540587,-7.356214311629461,63834
521,-3.677513648639528,-7.348709085898059,63885
522,-3.606280432828466,-6.783651890983795,63863
523,-3.473660301965866,-6.705864612831106,63892
524,-4.080425182249162,-8.666862176808497,63830
525,-4.019492240969193,-8.101454321463379,63887
526,-3.7081369358630307,-7.505374412924528,63887
527,-3.844450866329196,-7.681027455249003,63843
528,-3.876061785252077,-6.83267314113145,63898
529,-3.8669267634784585,-8.079302749479842,63869
530,-3.8311386092783266,-7.360510364051436,63900
531,-3.834409042540611,-7.457025968372191,63874
532,-3.7642008373312197,-7.210685817470975,63819
533,-3.935682700882044,-7.6297163437416105,63849
534,-3.884480846782743,-7.92503476368857,63870
535,-3.976760000723487,-7.8694674009959344,63885
536,-3.4595325361414178,-7.426092858933708,63864
537,-3.4984105897317934,-7.2404125633518825,63868
538,-3.8709411074778766,-7.990999652316798,63928
539,-3.3997794644987747,-6.914398552010229,63887
540,-3.452281396250833,-7.468318051108817,63878
541,-3.753217886066193,-7.092324156884315,63919
542,-4.13008003646202,-7.585636469626908,63842
543,-3.8067450242273,-7.991593756365039,63893
544,-3.9894769467234554,-7.6353781787103,63889
545,-3.676834447505418,-7.185655443705621,63901
546,-3.567512387142131,-7.324272464765757,63904
547,-4.186197915003824,-8.067609606534882,63906
548,-3.988317584377213,-7.999093116206676,63877
549,-4.021954548278974,-7.707130583474103,63858
550,-4.006638207127998,-7.975111729934516,63886
551,-3.9503559282460747,-7.622378236829167,63867
552,-3.905740491112803,-7.416390555195406,63859
553,-3.76107284164594,-7.3643009316198995,63852
554,-3.9323296888887644,-7.5290886223164115,63894
555,-4.151472948010007,-8.636600262298652,63849
556,-4.059420615728132,-7.893486956211111,63861
557,-3.9646247669071473,-8.106823761634297,63844
558,-3.4278403448327075,-6.386481642738111,63853
559,-3.6355592224955022,-7.348342451101663,63880
560,-4.081898459475163,-8.349381876935755,63864
561,-3.6856475092718672,-7.604831280335736,63882
562,-3.7317450699950725,-7.5126818218346605,63867
563,-4.035035477444514,-7.702858915138456,63866
564,-3.7876393005499303,-7.535197020426269,63874
565,-3.4890905140862767,-7.1257061915590825,63892
566,-3.9380786167758064,-8.119388957103894,63875
567,-3.975774759246756,-8.043907749828822,63922
568,-3.9474574868222367,-8.537837259886121,63852
569,-4.0442424771195205,-7.839350669676088,63899
570,-4.171071089084954,-8.51807972451201,63838
571,-4.178199012717293,-8.351882235972797,63851
572,-3.8611129531342065,-7.5615638384183566,63892
573,-3.7563413562707457,-7.196000185660582,63899
574,-4.212861067483655,-8.045093114104073,63911
575,-3.811293274307579,-7.036014439211707,63866
576,-4.155994133360626,-8.20482016585539,63877
577,-4.085454490882519,-8.115544844390858,63886
578,-4.063511372639691,-8.587439352377103,63885
579,-3.981131679831545,-8.137256886407531,63871
580,-4.08075489860965,-7.90158507956781,63885
581,-4.155649444677634,-8.62174560986399,63894
582,-4.20154922954426,-8.59655223287206,63843
583,-3.6399961261145717,-7.9015939127794566,63893
584,-3.8624232720126446,-7.888149686755878,63865
585,-3.8033957762416097,-7.297577351526379,63866
586,-3.675350309195889,-7.598602121585987,63870
