period,n,mean,ci_lo,ci_hi
2020-W19,103,4.394713059849654,4.336460632665188,4.45296548703412
2020-W20,105,4.43095901454221,4.354768538351734,4.507149490732686
2020-W21,45,4.297625681208874,4.297625681208874,4.297625681208874
2020-W22,34,4.532919798855934,4.415272740032404,4.650566857679463
2020-W23,27,4.519847903431097,4.297625681208875,4.74207012565332
2020-W24,19,4.402888839103611,,
2020-W25,22,4.479443863027056,4.388534772117965,4.570352953936147
2020-W26,24,4.297625681208875,4.297625681208875,4.297625681208875
2020-W27,7,4.297625681208875,,
2020-W28,7,4.583339966923161,,
2020-W29,3,4.297625681208875,,
2020-W30,6,4.630959014542208,,
2020-W31,76,4.350257260156245,4.297625681208877,4.429204628577298
2020-W32,25,4.377625681208875,4.297625681208875,4.457625681208875
2020-W33,35,4.411911395494589,4.354768538351732,4.47048282406601
2020-W34,23,4.384582202948004,4.297625681208873,4.471538724687135
2020-W35,11,4.479443863027058,,
2020-W36,72,4.380959014542209,4.325403458986653,4.408736792319987
2020-W37,26,4.451471835055029,4.374548758131952,4.528394911978106
2020-W38,21,4.297625681208874,4.297625681208874,4.297625681208874
2020-W39,16,4.422625681208875,,
2020-W40,7,4.297625681208875,,
2020-W41,6,4.297625681208875,,
2020-W42,14,4.440482824066019,,
2020-W43,32,4.485125681208875,4.297625681208875,4.672625681208875
2020-W44,43,4.390648937022828,4.297625681208874,4.4836721928367815
2020-W45,89,4.432457141883034,4.342569501433595,4.522344782332471
2020-W46,46,4.297625681208874,4.297625681208874,4.297625681208874
2020-W47,84,4.392863776446972,4.345244728827924,4.440482824066019
2020-W48,117,4.400189783772979,4.331813715396912,4.45147183505503
2020-W49,88,4.365807499390694,4.3203529539361485,4.411262044845239
2020-W50,43,4.344137309115851,4.297625681208874,4.390648937022828
2020-W51,89,4.409985231770674,4.320097591321236,4.499872872220112
2020-W52,111,4.387715771298968,4.3336617172449134,4.441769825353021
2020-W53,124,4.442786971531456,4.362141810241133,4.523432132821778
2021-W01,228,4.38534497945449,4.350257260156244,4.420432698752736
2021-W02,279,4.397984104147945,4.362141810241134,4.433826398054754
2021-W03,197,4.409300808112429,4.348387102528673,4.470214513696186
2021-W04,199,4.418228696284254,4.367977440002847,4.468479952565661
2021-W05,142,4.424386244589158,4.368048216420143,4.480724272758172
2021-W06,151,4.416830979222121,4.377095879884373,4.456566078559869
2021-W07,112,4.440482824066018,4.369054252637447,4.51191139549459
2021-W08,282,4.368547667024478,4.340178872698237,4.3969164613507195
2021-W09,147,4.420074660800712,4.352047449916358,4.488101871685066
2021-W10,127,4.407861901681316,4.344869775697063,4.470854027665568
2021-W11,104,4.432241065824261,4.3553179889011835,4.509164142747338
2021-W12,111,4.387715771298968,4.315643699226896,4.45978784337104
2021-W13,40,4.447625681208875,4.297625681208875,4.597625681208875
2021-W14,43,4.669718704464689,4.576695448650735,4.7627419602786425
2021-W15,84,4.392863776446972,4.345244728827924,4.440482824066019
2021-W16,156,4.4386513222345165,4.374548758131953,4.502753886337081
2021-W17,73,4.379817462030793,4.297625681208876,4.462009242852711
2021-W18,103,4.45296548703412,4.394713059849654,4.530635389946742
2021-W19,172,4.413904750976318,4.367393123069342,4.460416378883295
2021-W20,400,4.3576256812088765,4.337500681208876,4.377625681208876
2021-W21,251,4.385275083599314,4.353402573639155,4.4171475935594735
2021-W22,126,4.361117744700938,4.313498697081891,4.39286377644697
2021-W23,164,4.468357388525949,4.407381778769852,4.517137876330827
2021-W24,104,4.413010296593492,4.336087219670414,4.4899333735165685
2021-W25,237,4.382013866862883,4.339819774035879,4.4242079596898884
2021-W26,93,4.469668691961565,4.383647186585221,4.555690197337909
2021-W27,56,4.511911395494589,4.404768538351732,4.619054252637446
2021-W28,41,4.443967144623509,4.346406169013753,4.541528120233265
2021-W29,43,4.4836721928367815,4.390648937022828,4.576695448650735
2021-W30,113,4.386121256430115,4.333023911297372,4.4392186015628585
2021-W31,93,4.405152562929307,4.340636433897049,4.469668691961565
2021-W32,61,4.363199451700679,4.297625681208875,4.461560107438384
2021-W33,52,4.374548758131952,4.297625681208874,4.41301029659349
2021-W34,38,4.402888839103611,4.297625681208874,4.508151996998348
2021-W35,35,4.411911395494589,4.297625681208875,4.526197109780303
2021-W36,76,4.402888839103613,4.323941470682561,4.456178312787821
2021-W37,39,4.400189783772977,4.297625681208874,4.5027538863370795
2021-W38,107,4.391083625134111,4.33500885877897,4.447158391489251
2021-W39,69,4.384582202948008,4.297625681208877,4.471538724687138
2021-W40,63,4.488101871685067,4.36111774470094,4.615085998669195
2021-W41,54,4.445773829357022,4.334662718245911,4.593921977505171
2021-W42,72,4.325403458986653,4.297625681208875,4.380959014542209
2021-W43,54,4.371699755282949,4.297625681208874,4.445773829357022
2021-W44,37,4.4597878433710365,4.297625681208874,4.621950005533199
2021-W45,47,4.382732064187597,4.297625681208874,4.510391638655682
2021-W46,88,4.411262044845239,4.343080226663421,4.50217113575433
2021-W47,65,4.389933373516568,4.328394911978107,4.451471835055029
2021-W48,102,4.336841367483387,4.297625681208878,4.395664896895152
