k,thr,stop,period,is_current,n_entry_signal_bars,n_entry_signals_discarded,n_total_in_period,n_excluded_gap,n,mean_net_bps,ci_lo,ci_hi,se_cluster,sharpe,sharpe_ci_lo,sharpe_ci_hi,win_rate,max_dd_bps,mean_hold_min,stop_rate,mean_funding_bps,mean_gross_bps,sd_net_bps,n_days,deferred_minutes,trades_with_deferral,mean_cost_bps,sum_pnl_jpy_001btc
30,1.2,1.0,train,False,152344,588,9304,170,9134,-8.438323545280554,-10.842284789853839,-6.084873461905492,1.2059948776184073,-3.0665272240251675,-3.9175645176769134,-2.2306562668926913,0.3313991679439457,77519.01848864747,33.610466389314645,0.28705933873439893,0.14670462010072258,-3.2117791984429225,120.49662748113347,1598,9,5,5.07983972673691,-196702.8788177382
30,1.2,1.0,val,False,152344,588,1732,64,1668,-8.6484546931444,-12.934734032183409,-4.311144326015329,2.202166290413366,-2.6954112584813106,-4.2286611065987385,-1.2837179998096868,0.3393285371702638,14457.002993295413,36.054556354916066,0.20443645083932854,0.1354916067146283,-3.433123359692862,94.5632398324185,713,3,3,5.07983972673691,-54955.96792839226
60,0.4,0.25,full,False,1186465,4244,61551,1073,60478,-4.0600158687816625,-4.500717547971465,-3.601119205488888,0.22961247883135966,-6.601784084389299,-7.505423494940183,-5.754189711824169,0.23472998445715798,245708.4747727081,26.684414167135156,0.5903303680677271,0.11091636628195377,-0.8190261053118896,65.06786416792816,2314,355,266,3.1300733971878194,-628659.0297046558
60,0.4,0.25,train,False,1186465,4244,48332,697,47635,-3.989767959716099,-4.510244955906823,-3.4570980837632197,0.2681514225002426,-6.656631468807471,-7.681674574732722,-5.623153669683012,0.22951611210244569,190296.18162825145,25.235541093733598,0.6143591896714601,0.10698016164584864,-0.752714400882432,68.22050039712677,1598,44,38,3.1300733971878194,-406366.9178850042
60,0.4,0.25,val,False,1186465,4244,13219,376,12843,-4.320567075535386,-5.113517702685367,-3.4883832611802945,0.42225795087183043,-7.089546348972347,-9.025989533210344,-5.321757016607991,0.2540683640893872,55609.400318426946,32.058319707233515,0.5012068831269952,0.12551584520750603,-1.0649778331400614,51.72440115089185,716,311,228,3.1300733971878194,-222292.11181965153
60,0.4,0.5,full,False,1186465,4244,46744,1178,45566,-4.077900510725046,-4.671852970503646,-3.4493394873961547,0.3136133870680633,-4.873448404748454,-5.74803731998284,-4.044895472192413,0.28282052407496816,186012.32333730126,37.313852433832245,0.26581222841592417,0.1551595487863758,-0.7926675647508502,76.77211082766534,2314,325,247,3.1300733971878194,-517757.39315098984
60,0.4,0.5,train,False,1186465,4244,36041,773,35268,-3.915351770489476,-4.6784266848313045,-3.188749038126257,0.37762163746777444,-4.712080106670971,-5.715767435689712,-3.7042078689367215,0.2804808891913349,138425.4283064392,35.97113530679369,0.29074515141204493,0.152659634796416,-0.6326187385052401,81.12451801751828,1598,31,28,3.1300733971878194,-324534.5356995563
60,0.4,0.5,val,False,1186465,4244,10703,405,10298,-4.634588117117363,-5.656676549550403,-3.5226126763167116,0.5402583849081881,-5.92939524888314,-7.648101856235893,-4.228650311785786,0.29083317148960963,47851.09349693274,41.912313070499124,0.18042338318120024,0.1637211108953195,-1.340793609034224,59.501090635318114,716,294,219,3.1300733971878194,-193222.85745143358
60,0.4,1.0,full,False,1186465,4244,41518,1216,40302,-4.1827125749186544,-4.921376212175724,-3.467428698770748,0.3656584333115485,-4.554378319408696,-5.4186956540607065,-3.70474475861185,0.3011016822986452,169052.75513408592,42.65140687807057,0.08719170264503003,0.17721204902982482,-0.8754271287010105,82.44619046548196,2314,323,244,3.1300733971878194,-472895.18127475865
60,0.4,1.0,train,False,1186465,4244,31617,805,30812,-4.105934768205963,-4.971038292574791,-3.277998318739447,0.434840341883301,-4.488551273207999,-5.479501221699127,-3.542663730323248,0.30108399324938334,127133.22841689018,41.67532130338829,0.10009087368557705,0.1764247695702973,-0.7994366014478478,87.73651329400342,1598,29,26,3.1300733971878194,-303915.86850773956
60,0.4,1.0,val,False,1186465,4244,9901,411,9490,-4.431993689821859,-5.569449138398188,-3.255548671556198,0.6048369440767872,-5.112606245353596,-6.857123278648882,-3.6472405702851707,0.301159114857745,42183.72518326759,45.820547945205476,0.045310853530031614,0.179768177028451,-1.1221521156055883,62.246646996650256,716,294,218,3.1300733971878194,-168979.31276701915
