費用,方策,型,遅れ_秒,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE,n,日数,建玉の回数の平均,保有秒の中央値,入らなかった割合,0として含めたか
費用あり(主のc),全部逆張り,A,2,0.149425,-5.495212,6.129527,0.491000,0.043283,0.254224,2000,223,1.000000,60.000000,0.000000,0
費用あり(主のc),全部逆張り,B,0.500000,0.102558,-5.052797,6.022366,0.495000,0.147072,0.246331,2000,223,1.000000,60.000000,0.000000,1
費用あり(主のc),全部逆張り,B,0.500000,0.102558,-5.052797,6.022366,0.495000,0.147072,0.246331,2000,223,1.000000,60.000000,0.000000,0
費用あり(主のc),全部逆張り,B,1,0.245456,-5.210890,6.202749,0.488000,0.135657,0.256661,2000,223,1.000000,60.000000,0.000000,1
費用あり(主のc),全部逆張り,B,1,0.245456,-5.210890,6.202749,0.488000,0.135657,0.256661,2000,223,1.000000,60.000000,0.000000,0
費用あり(主のc),全部逆張り,B,2,0.149425,-5.495212,6.129527,0.491000,0.043283,0.254224,2000,223,1.000000,60.000000,0.000000,1
費用あり(主のc),全部逆張り,B,2,0.149425,-5.495212,6.129527,0.491000,0.043283,0.254224,2000,223,1.000000,60.000000,0.000000,0
費用あり(主のc),全部順張り,A,0.500000,-4.110608,-10.030416,1.044747,0.707500,-4.155122,0.246331,2000,223,1.000000,60.000000,0.000000,1
費用あり(主のc),全部順張り,A,0.500000,-4.110608,-10.030416,1.044747,0.707500,-4.155122,0.246331,2000,223,1.000000,60.000000,0.000000,0
費用あり(主のc),全部順張り,A,1,-4.253506,-10.210800,1.202841,0.702000,-4.143707,0.256661,2000,223,1.000000,60.000000,0.000000,1
費用あり(主のc),全部順張り,A,1,-4.253506,-10.210800,1.202841,0.702000,-4.143707,0.256661,2000,223,1.000000,60.000000,0.000000,0
費用あり(主のc),全部順張り,A,2,-4.157475,-10.137577,1.487162,0.690500,-4.051333,0.254224,2000,223,1.000000,60.000000,0.000000,1
費用あり(主のc),全部順張り,A,2,-4.157475,-10.137577,1.487162,0.690500,-4.051333,0.254224,2000,223,1.000000,60.000000,0.000000,0
費用あり(主のc),全部順張り,B,0.500000,-4.110608,-10.030416,1.044747,0.707500,-4.155122,0.246331,2000,223,1.000000,60.000000,0.000000,1
