code,name,market,perk_flag,kenri_month
3173,Ｃｏｍｉｎｉｘ,standard,1,3月
3174,ハピネス・アンド・ディ,standard,1,2月・8月
3175,エー・ピーホールディングス,standard,1,3月・9月
3176,三洋貿易,prime,1,9月
3178,チムニー,standard,1,3月・9月
3179,シュッピン,prime,1,3月
3180,ビューティガレージ,prime,1,4月
3181,買取王国,standard,1,2月
3183,ウイン・パートナーズ,prime,1,3月
3189,ＡＮＡＰホールディングス,standard,1,2月・8月
3190,ホットマン,standard,1,9月
3191,ジョイフル本田,prime,1,6月
3193,エターナルホスピタリティグループ,prime,1,1月・7月
3195,ジェネレーションパス,standard,1,10月
3196,ホットランドホールディングス,prime,1,6月・12月
3197,すかいらーくホールディングス,prime,1,6月・12月
3199,綿半ホールディングス,prime,1,9月
3201,日本毛織,prime,1,5月
3202,ダイトウボウ,standard,1,3月
3204,トーア紡コーポレーション,standard,1,12月
3205,ダイドーリミテッド,standard,1,3月
3221,ヨシックスホールディングス,prime,1,3月・9月
3222,ユナイテッド・スーパーマーケット・ホールディングス,standard,1,2月・8月
3223,エスエルディー,standard,1,2月
3232,三重交通グループホールディングス,prime,1,3月・9月
3242,アーバネットコーポレーション,standard,1,6月・12月
3246,コーセーアールイー,standard,1,1月
3286,トラストホールディングス,standard,1,6月
3289,東急不動産ホールディングス,prime,1,3月・9月
3291,飯田グループホールディングス,prime,1,3月
3297,東武住販,standard,1,5月
3302,帝国繊維,prime,1,12月
3306,日本製麻,standard,1,3月・9月
3317,フライングガーデン,standard,1,3月
3320,クロスプラス,standard,1,1月
3326,ランシステム,standard,1,3月
3329,東和フードサービス,standard,1,4月・10月
3350,メタプラネット,standard,1,3月・6月・9月・12月
3355,クリヤマホールディングス,standard,1,12月
3358,Ｔｒａｉｌｈｅａｄ　Ｇｌｏｂａｌ　Ｈｏｌｄｉｎｇｓ,standard,1,3月・9月
3361,トーエル,standard,1,4月・10月
3370,フジタコーポレーション,standard,1,3月
3371,ソフトクリエイトホールディングス,prime,1,3月・9月
3372,関門海,standard,1,3月・9月
3377,バイク王＆カンパニー,standard,1,11月
3382,セブン＆アイ・ホールディングス,prime,1,2月
3387,クリエイト・レストランツ・ホールディングス,prime,1,2月・8月
3391,ツルハホールディングス,prime,1,2月
3392,デリカフーズホールディングス,standard,1,9月
3395,サンマルクホールディングス,prime,1,3月
3396,フェリシモ,standard,1,8月
3397,トリドールホールディングス,prime,1,3月・9月
3399,丸千代山岡家,standard,1,1月・7月
3405,クラレ,prime,1,6月・12月
3415,ＴＯＫＹＯ　ＢＡＳＥ,prime,1,1月
3416,ピクスタ,standard,1,12月
3421,稲葉製作所,standard,1,1月・7月
3423,エスイー,standard,1,3月
3434,アルファＣｏ,standard,1,3月
3435,サンコーテクノ,standard,1,3月・9月
343A,ＩＡＣＥトラベル,standard,1,3月
3447,信和,standard,1,9月
3454,ファーストブラザーズ,standard,1,11月
3457,Ａｎｄ　Ｄｏホールディングス,prime,1,6月
3461,パルマ,standard,1,9月
3465,ケイアイスター不動産,prime,1,3月・9月
3467,アグレ都市デザイン,standard,1,3月
3469,デュアルタップ,standard,1,6月
3475,グッドコムアセット,prime,1,10月
3482,ロードスターキャピタル,prime,1,6月・12月
3484,イノベーションホールディングス,standard,1,3月
3490,アズ企画設計,standard,1,2月・8月
3494,マリオン,standard,1,9月
3498,霞ヶ関キャピタル,prime,1,8月
3501,ＳＵＭＩＮＯＥ,prime,1,5月
3512,日本フエルト,standard,1,3月
3521,テルマー湯ホールディングス,standard,1,3月
3529,アツギ,standard,1,3月・9月
3536,アクサスホールディングス,standard,1,8月
3537,昭栄薬品,standard,1,9月
3538,ウイルプラスホールディングス,standard,1,6月
3539,ＪＭホールディングス,prime,1,7月
3543,コメダホールディングス,prime,1,2月・8月
3547,ユニシアホールディングス,standard,1,5月・11月
3548,バロックジャパンリミテッド,prime,1,2月・8月
3549,クスリのアオキホールディングス,standard,1,5月
3560,ほぼ日,standard,1,8月
3561,力の源ホールディングス,prime,1,3月・9月
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,prime,1,3月・9月
3569,セーレン,prime,1,3月・9月
3577,東海染工,standard,1,3月
3591,ワコールホールディングス,prime,1,3月・9月
3598,山喜,standard,1,3月・9月
3607,クラウディアホールディングス,standard,1,8月
3608,ＴＳＩホールディングス,prime,1,2月・8月
3612,ワールド,prime,1,2月・8月
3633,ＧＭＯペパボ,standard,1,6月・12月
3634,ソケッツ,standard,1,3月
3635,コーエーテクモホールディングス,prime,1,3月
3639,ボルテージ,standard,1,12月
3641,パピレス,standard,1,3月
3646,駅探,standard,1,3月・9月
3648,ＡＧＳ,standard,1,3月・9月
3660,アイスタイル,prime,1,6月
3662,エイチームホールディングス,prime,1,1月・7月
3663,セルシス,prime,1,6月・12月
3665,エニグモ,prime,1,7月
3667,ｅｎｉｓｈ,standard,1,12月
3670,協立情報通信,standard,1,3月
3676,デジタルハーツホールディングス,prime,1,3月
3679,じげん,prime,1,3月・9月
367A,プリモグローバルホールディングス,standard,1,8月
3690,イルグルム,standard,1,3月・9月
3694,オプティム,prime,1,3月
3696,セレス,prime,1,12月
3708,特種東海製紙,prime,1,3月
3710,ジョルダン,standard,1,3月・9月
3712,情報企画,standard,1,9月
3719,ＡＩストーム,standard,1,12月
3726,フォーシーズＨＤ,standard,1,9月
3744,サイオス,standard,1,12月
3750,ＡＤＲバイオメディカルホールディングス,standard,1,3月・9月
3758,アエリア,standard,1,12月
3760,ケイブ,standard,1,5月
3762,テクマトリックス,prime,1,9月
3763,プロシップ,prime,1,3月
