k,thr,stop,signal,period,one_way_bps,burst_coef,is_current,n_entry_signal_bars,n_entry_signals_discarded,n_total_in_period,n_excluded_gap,n,mean_net_bps,ci_lo,ci_hi,se_cluster,sharpe,sharpe_ci_lo,sharpe_ci_hi,win_rate,max_dd_bps,mean_hold_min,stop_rate,mean_funding_bps,mean_gross_bps,sd_net_bps,n_days,deferred_minutes,trades_with_deferral,mean_cost_bps,sum_pnl_jpy_001btc,mde_bps
15,0.8,1.0,jpy,full,2.5935204311832636,1.995015716294818,False,165931,2313,19691,244,19447,-3.373556948065436,-4.711260185461395,-2.0217249153672916,0.6731538929443113,-2.127191859437893,-3.058495354511685,-1.2208251130579777,0.36545482593716255,70367.4927635974,20.766339281123052,0.15112870879827223,0.08350902452820487,1.8969929388292972,94.7419998243549,1954,7,6,5.187040862366527,-250397.76315212902,1.903356229720311
15,0.8,1.0,jpy,train,2.5935204311832636,1.995015716294818,False,165931,2313,17322,199,17123,-2.848828439266372,-4.243566532881045,-1.3831991495794433,0.7497818025882972,-1.817039823646418,-2.823195220180244,-0.8075250703093734,0.3665829585937044,53226.62084716931,20.707469485487355,0.15388658529463295,0.08398061087426269,2.4221930339744193,97.29021331528246,1598,7,6,5.187040862366527,-187872.0045915398,2.0829702378131154
15,0.8,1.0,jpy,val,2.5935204311832636,1.995015716294818,False,165931,2313,2369,45,2324,-7.239704218360782,-10.161651715828624,-4.381197678953565,1.5008898033966063,-4.720083217128319,-6.618446632478329,-2.9509759773532327,0.35714285714285715,17459.507322197518,21.200086058519794,0.13080895008605853,0.08003442340791739,-1.9726289325863369,73.18595889928646,356,0,0,5.187040862366527,-62525.758560589195,4.253177844927599
15,1.2,0.25,usd,full,3.353720696974217,2.5797851515186285,False,70448,1019,15335,70,15265,-5.882493308178256,-7.173842507975689,-4.533511412757177,0.6778751116742282,-3.4317174405833195,-4.335627038124555,-2.5585889824924006,0.2406812970848346,90005.97928181085,8.684376023583361,0.7874877169996725,0.0368162463150999,0.8617643320852779,79.81214158586502,1952,24,14,6.707441393948434,-243222.7480903585,1.809774219655941
15,1.2,0.25,usd,train,3.353720696974217,2.5797851515186285,False,70448,1019,13830,57,13773,-5.416508788069257,-6.798531547583829,-3.933955889697545,0.7296119730401782,-3.2449526660855534,-4.218292953909396,-2.3153616152112657,0.24134175560879984,75031.50125823657,8.694765120162637,0.7871197270021055,0.03760981630726784,1.328542422186445,81.7290305557425,1598,24,14,6.707441393948434,-187097.51079428755,1.9510388219496106
15,1.2,0.25,usd,val,3.353720696974217,2.5797851515186285,False,70448,1019,1505,13,1492,-10.184105101382846,-12.850280988089562,-7.36553589396032,1.374029530327657,-5.698604944691605,-7.1640869258051465,-4.1009820891754725,0.23458445040214476,15304.565662528878,8.588471849865952,0.7908847184986595,0.029490616621983913,-3.4471730908124276,59.105899358167854,354,0,0,6.707441393948434,-56125.23729607092,4.286968138477769
15,1.2,0.25,jpy,full,3.353720696974217,2.5797851515186285,False,70720,1009,15271,62,15209,-6.012256903526913,-7.437432589421491,-4.4725616581956,0.7309089105246669,-3.2448314084021344,-4.216844682647169,-2.304972452773459,0.2393977250312315,91819.21166767142,8.778420671970544,0.7876914984548623,0.03747780919192583,0.7326622996134469,80.88430115423981,1952,23,13,6.707441393948434,-246745.65478461306,1.8374593709174183
15,1.2,0.25,jpy,train,3.353720696974217,2.5797851515186285,False,70720,1009,13796,52,13744,-5.517513280363041,-6.999565139542894,-3.848405830672294,0.8079809618867886,-3.0517303753240825,-4.088810274338012,-2.0440399379772254,0.2404685681024447,76201.56010999638,8.786597788125727,0.7873981373690337,0.03841676367869616,1.2283448772640904,82.83253801179494,1598,23,13,6.707441393948434,-189065.52049293474,1.979466847924654
15,1.2,0.25,jpy,val,3.353720696974217,2.5797851515186285,False,70720,1009,1475,10,1465,-10.653728819406965,-13.132354606350127,-8.086326910276536,1.3270071843138325,-5.792972970425695,-7.335083042230996,-4.2074712652215505,0.22935153583617748,15986.509142361727,8.701706484641639,0.7904436860068259,0.028668941979522185,-3.917618483479007,59.40302272338129,354,0,0,6.707441393948434,-57680.13429167836,4.348040389487128
15,1.2,0.5,usd,full,3.353720696974217,2.5797851515186285,False,70448,1019,11046,104,10942,-5.204848031442981,-7.132246608724195,-3.2307499174516514,0.9772458190253678,-2.2260627315763033,-3.1278189892853305,-1.3833160988847548,0.30131602997623835,57223.726141648396,15.306068360445988,0.5503564247852312,0.06744653628221532,1.5700398987876687,100.15732974945657,1952,11,7,6.707441393948434,-192593.93696365357,2.6824906670384254
15,1.2,0.5,usd,train,3.353720696974217,2.5797851515186285,False,70448,1019,9905,88,9817,-4.370334258283797,-6.421820272569439,-2.2316842168410194,1.0588541777170193,-1.9172375545780567,-2.897950930133071,-0.9455924117605855,0.30202709585413057,43441.44947262359,15.345726800448203,0.5504736681267189,0.06845268411938474,2.405559819784023,102.83451386052529,1598,11,7,6.707441393948434,-140552.24001328237,2.9077250720017735
15,1.2,0.5,usd,val,3.353720696974217,2.5797851515186285,False,70448,1019,1141,16,1125,-12.48700066353517,-16.27021090683943,-8.44129753751431,1.941972875660016,-5.04515254158781,-6.627625928414487,-3.611322460858126,0.2951111111111111,14192.942021724766,14.96,0.5493333333333333,0.058666666666666666,-5.720892602920069,72.35527133213444,354,0,0,6.707441393948434,-52041.69695037126,6.043628389704422
15,1.2,0.5,jpy,full,3.353720696974217,2.5797851515186285,False,70720,1009,11010,99,10911,-5.105429585440947,-6.881321315338575,-3.194497691993712,0.9745651302579518,-2.1185252934788665,-2.995739373337454,-1.2259157455144802,0.30208046925121435,56216.96473572401,15.47722481899001,0.5485290074237008,0.06708825955457795,1.669100068062065,101.52678277434917,1952,9,5,6.707441393948434,-188195.82774049503,2.7230284809105214
15,1.2,0.5,jpy,train,3.353720696974217,2.5797851515186285,False,70720,1009,9890,81,9809,-4.2962771825284545,-6.513328227529853,-2.121114128041909,1.0983203855545307,-1.8192610493942047,-2.817544270812861,-0.9078924336171996,0.3045162605770211,42678.07736457822,15.529207870323173,0.5492914670200836,0.06830461820776837,2.479468829627747,104.12604778768329,1598,9,5,6.707441393948434,-137677.6926167485,2.9454445733999366
15,1.2,0.5,jpy,val,3.353720696974217,2.5797851515186285,False,70720,1009,1120,18,1102,-12.307767081056763,-15.881643345371652,-8.59711576651799,1.822778906934923,-5.31780130088649,-6.917631866283641,-3.645559474600203,0.28039927404718695,13972.027667092181,15.014519056261342,0.5417422867513612,0.056261343012704176,-5.544064344095625,74.14456479184832,354,0,0,6.707441393948434,-50518.1351237465,6.257377560812756
15,1.2,1.0,usd,full,3.353720696974217,2.5797851515186285,False,70448,1019,9173,135,9038,-4.342702974777654,-6.591497090898715,-1.8597061184676873,1.2163920215876864,-1.5098582362802828,-2.4043341168606935,-0.6846303832518777,0.3657888913476433,50050.96654338109,21.988935605222395,0.25492365567603453,0.09780924983403408,2.462547669004814,116.57859822625633,1952,6,3,6.707441393948434,-174216.11755929264,3.4354726686922166
15,1.2,1.0,usd,train,3.353720696974217,2.5797851515186285,False,70448,1019,8194,114,8080,-3.47736174841767,-6.151407901292459,-0.9316113660592107,1.3303155705012655,-1.2332785062685023,-2.1753382154544822,-0.26763328629865074,0.3678217821782178,39152.0047110118,22.013613861386137,0.2576732673267327,0.09752475247524753,3.327604398006013,119.55314409848044,1598,6,3,6.707441393948434,-131824.28922069995,3.72613991968047
15,1.2,1.0,usd,val,3.353720696974217,2.5797851515186285,False,70448,1019,979,21,958,-11.641196825496525,-16.547288393328756,-6.483735202382111,2.586009803317389,-4.059898075772926,-5.79486582162979,-2.300192437656656,0.348643006263048,11366.791631191809,21.780793319415448,0.23173277661795408,0.10020876826722339,-4.8335466632808695,87.26734090830259,354,0,0,6.707441393948434,-42391.82833859265,7.899012948928818
15,1.2,1.0,jpy,full,3.353720696974217,2.5797851515186285,False,70720,1009,9138,134,9004,-3.9022081989655186,-6.444668712330385,-1.2420457097784174,1.3202453797882965,-1.2850013389490447,-2.2180011951460363,-0.39815407616628623,0.3666148378498445,52425.75333162395,22.122834295868504,0.2493336294980009,0.0964015992892048,2.9016347942721215,117.92084382704434,1952,6,3,6.707441393948434,-161271.72129931735,3.4815823537981214
15,1.2,1.0,jpy,train,3.353720696974217,2.5797851515186285,False,70720,1009,8170,110,8060,-2.86994742257467,-5.55512520092339,-0.032231430944982264,1.4180093059537844,-0.9610932247114784,-1.9331745062032168,-0.023009810233451965,0.3708436724565757,40327.071148918956,22.216129032258063,0.251985111662531,0.09652605459057072,3.9340200259643336,120.96968715500071,1598,6,3,6.707441393948434,-115945.50580634853,3.7749645184095777
15,1.2,1.0,jpy,val,3.353720696974217,2.5797851515186285,False,70720,1009,968,24,944,-12.715790675353473,-17.909260333621045,-7.531021138465632,2.6305458477637367,-4.478726812860332,-6.3282773414014,-2.731826330393145,0.3305084745762712,12595.075329072533,21.326271186440678,0.2266949152542373,0.09533898305084745,-5.913010298354193,87.22795366745049,354,0,0,6.707441393948434,-45326.21549296878,7.953779086644249
30,0.4,0.25,usd,full,1.7070795514529675,1.3131381165022826,False,784920,10771,69393,680,68713,-3.6273244214033036,-4.051653844934272,-3.2090629680599543,0.21626694323080792,-6.976757093156425,-7.909886624892409,-6.067002404974961,0.2658594443555077,249466.89871383173,16.995080989041377,0.5366815595302199,0.06997220322209771,-0.14319311527527123,58.35254499055307,1962,75,50,3.414159102905935,-665046.8784606222,0.6236546781404271
30,0.4,0.25,usd,train,1.7070795514529675,1.3131381165022826,False,784920,10771,59850,537,59313,-3.7004419584446477,-4.162250987077615,-3.2261023355331306,0.23633164585987476,-7.1253708300535,-8.129971220829791,-6.1420788192829825,0.2637701684285064,220049.1109341248,16.519666852123482,0.5467266872355133,0.06780975502840861,-0.2184731005103043,59.4790145010481,1599,75,50,3.414159102905935,-556135.9967701974,0.6842151026323041
30,0.4,0.25,usd,val,1.7070795514529675,1.3131381165022826,False,784920,10771,9543,143,9400,-3.165960541133811,-4.084628444305683,-2.2582512007460105,0.4769272187236957,-6.663272037847512,-9.17253239013526,-4.475582463633781,0.27904255319148935,29860.44751846249,19.994893617021276,0.47329787234042553,0.08361702127659575,0.3318155830487192,50.67075003810127,364,0,0,3.414159102905935,-108910.88169042478,1.4641893493125548
30,0.4,0.25,jpy,full,1.7070795514529675,1.3131381165022826,False,793744,10830,69816,684,69132,-3.488045565506913,-3.9183449892000026,-3.076104444737478,0.2172003234851554,-6.726034256118159,-7.761344770474861,-5.761269225796414,0.26705433084533936,241435.63964980448,17.118613666608805,0.5345860093733726,0.07108140947752126,-0.002805053123456678,58.67251219602024,1962,76,52,3.414159102905935,-645662.65332418,0.6251711966146962
30,0.4,0.25,jpy,train,1.7070795514529675,1.3131381165022826,False,793744,10830,60117,546,59571,-3.554744305794635,-4.029558410140744,-3.0899349003888275,0.2378303903694068,-6.853120495932852,-7.944757962857791,-5.816191980854119,0.2641218042336036,212168.1430430505,16.625572845847813,0.5446945661479579,0.06879186181195548,-0.07179334107674476,59.96154731147213,1599,75,51,3.414159102905935,-538253.8979004611,0.6882706074361951
30,0.4,0.25,jpy,val,1.7070795514529675,1.3131381165022826,False,793744,10830,9699,138,9561,-3.0724707660424317,-3.9650871364100433,-2.213496289508681,0.45367292636250084,-6.506102914143557,-8.798755742782063,-4.383701803482304,0.2853258027402991,29669.769903120217,20.190565840393266,0.4716033887668654,0.08534672105428302,0.4270350579177863,49.8972040248857,364,1,1,3.414159102905935,-107408.7554237188,1.4296455902354945
30,0.4,0.5,usd,full,1.7070795514529675,1.3131381165022826,False,784920,10771,54574,752,53822,-3.694109297991548,-4.214060224633078,-3.148458788670033,0.2762892404096056,-5.544933362720534,-6.506034095761644,-4.662691850066474,0.31113670989558173,199079.1889604982,23.112184608524394,0.2346809854706254,0.09512838616179257,-0.18482180892382044,67.33312967252473,1962,55,41,3.414159102905935,-589156.1506707784,0.8131164036951116
