date,open,high,low,close
2026-02-03,1979.0,2001.8,1978.55,1995.11
2026-02-04,1996.29,2012.54,1984.82,2007.29
2026-02-05,2014.88,2015.35,2004.58,2009.47
2026-02-06,2010.92,2010.92,1992.29,1994.83
2026-02-09,2004.3,2011.7,1992.66,1999.51
2026-02-10,2004.23,2008.86,1997.93,2007.09
2026-02-12,1994.54,2002.88,1993.85,2000.15
2026-02-13,1999.57,2000.82,1975.73,1980.04
2026-02-16,1985.06,2004.62,1977.05,2004.62
2026-02-17,2000.05,2000.05,1980.37,1989.45
2026-02-18,1986.63,2010.65,1985.38,2008.39
2026-02-19,2005.44,2005.44,1988.33,1995.43
2026-02-20,1996.5,2005.08,1995.94,2001.34
2026-02-24,2010.16,2024.46,2002.17,2019.53
2026-02-25,2021.97,2035.9,2018.18,2035.9
2026-02-26,2019.8,2034.76,2015.54,2029.44
2026-02-27,2029.13,2029.13,1999.33,1999.33
2026-03-02,1992.13,2011.53,1986.82,2010.38
2026-03-03,1989.76,1990.28,1978.37,1978.37
2026-03-04,1965.98,1967.11,1948.63,1951.36
2026-03-05,1975.0,1993.4,1975.0,1981.2
2026-03-06,1971.5,1977.98,1960.98,1963.63
2026-03-09,1937.31,1960.41,1932.1,1952.2
2026-03-10,1955.41,1964.84,1951.34,1955.88
2026-03-11,1958.63,1981.8,1952.47,1973.76
2026-03-12,1963.04,1965.32,1955.02,1960.21
2026-03-13,1954.3,1972.28,1948.78,1951.23
2026-03-16,1946.67,1972.65,1943.23,1966.0
2026-03-17,1974.09,1980.67,1969.54,1978.41
2026-03-18,1978.22,1986.74,1975.23,1986.74
2026-03-19,1975.78,1978.31,1954.38,1954.38
2026-03-23,1928.0,1929.49,1904.71,1914.26
2026-03-24,1929.34,1938.17,1912.16,1912.16
2026-03-25,1929.23,1935.74,1923.63,1928.74
2026-03-26,1923.42,1925.36,1905.25,1913.79
2026-03-27,1913.46,1917.48,1901.99,1909.21
2026-03-30,1876.24,1881.17,1861.04,1861.04
2026-03-31,1861.13,1866.42,1848.45,1848.45
2026-04-01,1870.47,1892.68,1869.52,1892.68
2026-04-02,1896.4,1914.75,1872.08,1874.32
2026-04-03,1876.7,1896.34,1874.95,1894.4
2026-04-06,1891.8,1907.02,1891.8,1900.54
2026-04-07,1904.16,1918.15,1897.79,1898.22
2026-04-08,1918.81,1937.8,1910.65,1937.8
2026-04-09,1929.43,1939.87,1909.96,1914.14
2026-04-10,1911.67,1915.74,1905.85,1915.74
2026-04-13,1905.01,1917.22,1903.48,1913.65
2026-04-14,1923.46,1937.12,1923.46,1935.1
2026-04-15,1942.02,1944.69,1931.39,1931.39
2026-04-16,1937.34,1942.27,1924.34,1942.27
2026-04-17,1937.17,1940.86,1924.18,1927.36
2026-04-20,1932.66,1935.84,1925.56,1926.47
2026-04-21,1930.56,1930.87,1914.66,1916.76
2026-04-22,1914.33,1914.33,1898.34,1898.34
2026-04-23,1895.46,1907.94,1889.25,1901.57
2026-04-24,1905.36,1907.54,1897.29,1901.62
2026-04-27,1902.28,1908.38,1897.94,1903.01
2026-04-28,1898.83,1898.83,1877.46,1878.53
2026-04-30,1874.46,1880.34,1871.46,1880.28
2026-05-01,1877.06,1883.56,1869.45,1874.56
2026-05-07,1886.45,1891.31,1869.79,1879.32
2026-05-08,1877.52,1878.63,1856.84,1858.25
2026-05-11,1861.87,1867.39,1853.99,1857.35
2026-05-12,1861.13,1861.84,1841.51,1845.48
2026-05-13,1843.93,1843.93,1831.0,1833.86
2026-05-14,1835.33,1839.06,1825.63,1832.99
2026-05-15,1831.15,1844.75,1829.71,1838.71
2026-05-18,1834.16,1834.16,1802.53,1814.2
2026-05-19,1814.41,1828.56,1812.51,1828.56
2026-05-20,1833.41,1833.61,1801.36,1806.45
2026-05-21,1815.01,1818.51,1806.08,1816.68
2026-05-22,1811.56,1811.75,1798.6,1801.98
2026-05-25,1799.02,1807.12,1797.62,1799.66
2026-05-26,1793.71,1803.85,1791.35,1797.03
2026-05-27,1804.96,1810.08,1797.62,1810.08
2026-05-28,1787.8,1798.66,1784.35,1798.28
2026-05-29,1803.66,1823.24,1794.45,1809.65
2026-06-01,1809.9,1809.9,1780.12,1782.05
2026-06-02,1769.18,1769.24,1751.58,1763.34
2026-06-03,1764.58,1782.93,1764.58,1775.86
2026-06-04,1770.54,1770.64,1749.92,1752.02
2026-06-05,1758.19,1766.9,1746.6,1751.79
2026-06-08,1740.49,1766.34,1740.49,1766.34
2026-06-09,1769.65,1769.65,1748.72,1760.27
2026-06-10,1763.71,1782.38,1757.42,1782.38
2026-06-11,1774.62,1795.73,1772.93,1779.59
2026-06-12,1781.15,1805.64,1778.75,1795.78
2026-06-15,1805.37,1816.87,1797.43,1808.9
2026-06-16,1795.4,1795.4,1768.79,1777.13
2026-06-17,1777.17,1779.35,1765.29,1771.64
2026-06-18,1766.19,1774.06,1757.8,1767.54
2026-06-19,1764.85,1774.92,1763.94,1774.92
2026-06-22,1765.05,1772.53,1760.66,1766.37
2026-06-23,1771.21,1779.21,1765.64,1773.49
2026-06-24,1775.74,1786.68,1774.89,1786.66
2026-06-25,1791.21,1807.58,1782.22,1798.74
2026-06-26,1804.03,1825.98,1797.37,1824.6
2026-06-29,1819.76,1821.27,1809.97,1812.1
2026-06-30,1815.58,1823.79,1805.16,1805.16
2026-07-01,1804.58,1805.99,1785.67,1785.67
2026-07-02,1799.13,1810.75,1793.13,1803.29
2026-07-03,1810.47,1837.62,1810.47,1829.63
2026-07-06,1828.32,1856.43,1828.32,1840.15
2026-07-07,1846.62,1852.49,1836.72,1836.72
2026-07-08,1832.3,1836.76,1824.22,1828.81
2026-07-09,1825.76,1832.26,1824.7,1827.97
2026-07-10,1825.59,1828.75,1820.87,1820.87
2026-07-13,1825.11,1830.72,1821.17,1822.6
2026-07-14,1824.69,1843.75,1824.68,1841.41
2026-07-15,1846.86,1855.44,1845.27,1846.96
2026-07-16,1844.69,1852.79,1823.54,1827.43
2026-07-17,1833.21,1857.27,1832.91,1838.29
2026-07-21,1861.48,1874.15,1859.4,1867.64
2026-07-22,1865.18,1868.31,1857.36,1865.27
2026-07-23,1861.98,1870.06,1849.84,1851.72
2026-07-24,1848.16,1861.72,1845.59,1860.41
2026-07-27,1866.2,1885.99,1866.2,1885.85
2026-07-28,1885.17,1898.06,1876.32,1883.67
2026-07-29,1891.35,1912.57,1885.82,1912.57
2026-07-30,1884.94,1891.55,1866.96,1891.55
2026-07-31,1885.13,1885.13,1851.77,1851.77
2026-08-03,1850.36,1851.21,1818.71,1818.71
2026-08-04,1820.92,1822.39,1803.71,1803.71
2026-08-05,1807.83,1810.83,1793.24,1806.86
2026-08-06,1801.93,1810.13,1797.23,1808.6
2026-08-07,1808.55,1820.22,1798.16,1804.22
2026-08-10,1804.83,1806.04,1791.69,1803.1
2026-08-12,1807.16,1814.48,1800.72,1814.48
2026-08-13,1816.28,1822.99,1803.78,1803.78
2026-08-14,1806.08,1810.44,1798.09,1804.29
2026-08-17,1814.85,1820.17,1807.3,1810.78
2026-08-18,1807.83,1807.83,1791.74,1800.57
2026-08-19,1795.43,1802.33,1791.36,1794.27
2026-08-20,1808.49,1813.33,1800.29,1813.3
2026-08-21,1808.47,1808.75,1794.57,1799.69
2026-08-24,1806.97,1815.68,1801.56,1814.73
2026-08-25,1814.46,1820.16,1810.37,1810.37
2026-08-26,1815.11,1825.25,1815.11,1819.66
2026-08-27,1819.62,1830.9,1817.31,1821.76
2026-08-28,1798.19,1802.14,1786.86,1787.58
2026-08-31,1787.7,1795.57,1782.62,1783.49
2026-09-01,1781.68,1794.6,1781.68,1794.6
2026-09-02,1779.28,1789.49,1777.74,1779.88
2026-09-03,1784.97,1789.42,1773.07,1773.07
