series,variable,state,n,mean,ci_lo,ci_hi,cost_mean,net_mean,net_ci_lo,net_ci_hi
1591T,月,07,272,8.597947026538876,1.93587318574457,14.996855729057183,6.2258365643536955,2.372110462185179,-3.956618546413111,9.100848645406698
1591T,月,08,275,3.823461889948237,-5.702866241447609,12.638740661617451,6.266256700368507,-2.442794810420272,-12.583820837541468,6.794225452787793
1591T,月,09,235,5.061685543112468,-5.232741453669903,15.35596395420865,6.224032055423279,-1.1623465123108128,-11.460800789772424,8.610012678401361
1591T,月,10,250,9.527648869337405,-2.282296854496931,22.03024312257949,6.2811922830838665,3.2464565862535375,-7.822352543423829,16.183054657033786
1591T,月,11,232,22.426546828928497,12.451472895664946,31.648468962422317,6.113015852595007,16.313530976333492,7.527841277581702,25.908635839841043
1591T,月,12,251,6.045963295844072,-1.4270462940542512,12.959802317786428,6.220375633039354,-0.17441233719528104,-6.975425759281282,6.600225399335506
1591T,泊数,1_1泊,2381,7.9044087288321405,4.829374305969286,11.066443119815638,6.3121970643962735,1.5922116644358668,-1.5549524886045663,4.868951435797484
1591T,泊数,2_2-3泊,583,11.140001800535622,2.1393176888820173,19.90909983735989,6.347064725310869,4.792937075224754,-3.893494145508673,13.529575406176846
1591T,泊数,3_4泊以上,97,5.443594280036113,-14.262381100159311,25.305364462244377,6.184081119045595,-0.740486839009479,-21.546547976120237,20.610676511975853
1591T,制度区分,2014-01-23..2024-11-04,2616,6.607359994723427,3.2378962012189687,9.679893274871176,6.580019902141259,0.027340092582167266,-3.075653694998765,3.2374353520046455
1591T,制度区分,2024-11-05..2026-09-03,445,19.231894678715985,8.01769021394943,29.556161902108776,4.755514044336295,14.476380634379687,3.09439148493767,24.75222154594646
2516T,実現ボラ三分位,1_低,682,4.623946938419103,-1.120718942363345,10.499442532535285,32.42474864719136,-27.80080170877225,-33.98165282520623,-21.81719624728344
2516T,実現ボラ三分位,2_中,682,1.8766988860069658,-5.8419436604139445,9.655809770724716,30.728216817818733,-28.851517931811774,-37.06768565314647,-20.738269738276298
2516T,実現ボラ三分位,3_高,682,14.726136407360885,2.8016025740666612,25.818425957864527,31.850056045086877,-17.123919637725987,-28.284896667822203,-5.697728219316919
2516T,直前リターン符号,1_上昇,1026,7.494936530190406,0.9327592726894736,13.778621821611658,31.520152525496613,-24.0252159953062,-30.996890991425627,-17.33704685340429
