財務省,,,,,,,,
Ministry of Finance,,,,,,,,
,,,,,,,,
外国為替平衡操作の実施状況,,,,,,,,
Foreign Exchange Intervention Operations,,,,,,,,
,,,,,,,,
(データ期間:平成3年4月～),,,,,,,,
(period:April 1991-),,,,,,,,
,,,,,,,,
(単位:億円),,,,,,,,
(amount:100 million Yen),,,,,,,,
,,,,,,,,
実施年月日,,,Intervention Date,,,,,
年,月,日,Year,Month,Day,金額(amount),売買通貨,Currency pairs
,,,,,,,,
,,21日,,,21,388,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,25日,,,25,97,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,11月,1日,,Nov,1,97,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,2日,,,2,"1,057",米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,3日,,,3,491,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
平成6年10～12月期計,,,October - December 1994,,,"3,556",,
平成7年,2月,17日,1995,Feb,17,409,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,20日,,,20,223,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,23日,,,23,155,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,24日,,,24,328,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,27日,,,27,68,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,3月,1日,,Mar,1,183,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,2日,,,2,482,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,3日,,,3,"1,086",米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,6日,,,6,"1,167",米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,7日,,,7,278,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,9日,,,9,182,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,13日,,,13,757,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,14日,,,14,409,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,15日,,,15,704,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,16日,,,16,628,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,17日,,,17,492,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,20日,,,20,134,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,21日,,,21,622,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,22日,,,22,178,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,23日,,,23,442,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,24日,,,24,"2,037",米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,27日,,,27,846,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,28日,,,28,580,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,29日,,,29,842,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,30日,,,30,"1,334",米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,31日,,,31,"3,388",米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
平成7年1～3月期計,,,January - March 1995,,,"17,954",,
平成7年,4月,3日,1995,Apr,3,"1,255",米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,5日,,,5,432,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,6日,,,6,684,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,7日,,,7,252,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,10日,,,10,"1,407",米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,14日,,,14,503,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,17日,,,17,371,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,18日,,,18,82,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,5月,31日,,May,31,635,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,6月,28日,,Jun,28,430,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
平成7年4～6月期計,,,April -June 1995,,,"6,050",,
平成7年,7月,7日,1995,Jul,7,579,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,8月,2日,,Aug,2,"6,757",米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,11日,,,11,935,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,15日,,,15,482,米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,9月,6日,,Sep,6,"2,264",米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
,,8日,,,8,"8,576",米ドル買い・日本円売り,the US dollar (bought) the Japanese yen (sold)
