exchange,symbol,timestamp,local_timestamp,id,side,price,amount
bitflyer,FX_BTC_JPY,1577836803946777,1577836804304392,1489358021,buy,792861,0.02544495
bitflyer,FX_BTC_JPY,1577836803946777,1577836804304392,1489358022,buy,792864,0.01
bitflyer,FX_BTC_JPY,1577836803946777,1577836804304392,1489358023,buy,792867,0.2
bitflyer,FX_BTC_JPY,1577836803946777,1577836804304392,1489358024,buy,792868,0.09889
bitflyer,FX_BTC_JPY,1577836803946777,1577836804304392,1489358025,buy,792869,0.011
bitflyer,FX_BTC_JPY,1577836803946777,1577836804304392,1489358026,buy,792869,0.01
bitflyer,FX_BTC_JPY,1577836803946777,1577836804304392,1489358027,buy,792869,0.03
bitflyer,FX_BTC_JPY,1577836803946777,1577836804304392,1489358028,buy,792869,0.09808695
bitflyer,FX_BTC_JPY,1577836804056154,1577836804371633,1489358029,buy,792808,0.01
bitflyer,FX_BTC_JPY,1577836804056154,1577836804371633,1489358030,buy,792808,0.001
bitflyer,FX_BTC_JPY,1577836804056154,1577836804371633,1489358031,buy,792867,0.0155711
bitflyer,FX_BTC_JPY,1577836804243000,1577836804596174,1489358032,sell,792781,0.06
bitflyer,FX_BTC_JPY,1577836804243000,1577836804596174,1489358033,sell,792781,0.01
bitflyer,FX_BTC_JPY,1577836804243000,1577836804596174,1489358034,sell,792753,0.02743913
bitflyer,FX_BTC_JPY,1577836804243000,1577836804596174,1489358035,sell,792752,0.07615942
bitflyer,FX_BTC_JPY,1577836804243000,1577836804596174,1489358036,sell,792749,0.01
bitflyer,FX_BTC_JPY,1577836804243000,1577836804596174,1489358037,sell,792748,0.011
bitflyer,FX_BTC_JPY,1577836804243000,1577836804596174,1489358038,sell,792739,0.1
bitflyer,FX_BTC_JPY,1577836804243000,1577836804596174,1489358039,sell,792732,0.03
bitflyer,FX_BTC_JPY,1577836804243000,1577836804596174,1489358040,sell,792731,0.07980145
bitflyer,FX_BTC_JPY,1577836805086854,1577836805274352,1489358041,buy,792809,0.012
bitflyer,FX_BTC_JPY,1577836805086854,1577836805274352,1489358042,buy,792817,0.008
