属性,群,h,n(清算),n(対照),平均bp(清算),平均bp(対照。距離でそろえた),差(距離でそろえた),SE(差),帯の最小n(清算),帯の最小n(対照)
bin_pct,Q2(中位 3 分位),5,6986,6863,-6.859383,-0.842299,-6.017084,0.405275,698,265
bin_pct,Q2(中位 3 分位),15,6986,6863,-6.855719,-0.186113,-6.669606,0.680491,698,265
bin_pct,Q2(中位 3 分位),30,6986,6863,-6.048120,1.132997,-7.181117,0.992334,698,265
bin_pct,Q2(中位 3 分位),60,6985,6863,-6.072327,4.866647,-10.938973,1.316411,697,265
bin_pct,Q2(中位 3 分位),240,6984,6862,-6.452294,11.903519,-18.355813,2.489934,697,265
bin_pct,Q3(上位 3 分位),1,7062,7039,-4.866011,-0.117959,-4.748052,0.158170,706,436
bin_pct,Q3(上位 3 分位),5,7062,7039,-4.874892,-0.443753,-4.431139,0.341204,706,436
bin_pct,Q3(上位 3 分位),15,7062,7039,-5.136457,0.311650,-5.448107,0.639193,706,436
bin_pct,Q3(上位 3 分位),30,7062,7039,-4.359649,1.254722,-5.614371,0.911861,706,436
bin_pct,Q3(上位 3 分位),60,7062,7039,-4.118294,2.988443,-7.106737,1.290879,706,436
bin_pct,Q3(上位 3 分位),240,7062,7039,-4.869998,7.143475,-12.013473,2.460976,706,436
bundle_n_events_dedup,Q1(下位 3 分位),1,12029,11000,-3.971129,-0.339014,-3.632115,0.109559,1202,575
bundle_n_events_dedup,Q1(下位 3 分位),5,12029,11000,-4.173040,-0.785277,-3.387763,0.254648,1202,575
bundle_n_events_dedup,Q1(下位 3 分位),15,12029,11000,-4.660447,-0.020726,-4.639721,0.449314,1202,575
bundle_n_events_dedup,Q1(下位 3 分位),30,12029,10999,-4.216071,0.454486,-4.670558,0.662415,1202,575
bundle_n_events_dedup,Q1(下位 3 分位),60,12028,10999,-4.332249,3.125870,-7.458119,0.925111,1201,575
bundle_n_events_dedup,Q1(下位 3 分位),240,12028,10995,-3.075421,7.436133,-10.511554,1.761916,1201,575
bundle_n_events_dedup,Q2(中位 3 分位),1,3906,3301,-6.528873,-0.312405,-6.216468,0.235270,390,112
bundle_n_events_dedup,Q2(中位 3 分位),5,3906,3301,-6.320158,-0.835200,-5.484959,0.515075,390,112
bundle_n_events_dedup,Q2(中位 3 分位),15,3906,3301,-5.920700,-0.678123,-5.242577,0.955236,390,112
bundle_n_events_dedup,Q2(中位 3 分位),30,3906,3301,-5.232013,1.314807,-6.546820,1.417676,390,112
bundle_n_events_dedup,Q2(中位 3 分位),60,3906,3301,-6.120426,3.524356,-9.644782,1.899934,390,112
bundle_n_events_dedup,Q2(中位 3 分位),240,3905,3301,-6.585027,10.714496,-17.299524,3.631156,390,112
bundle_n_events_dedup,Q3(上位 3 分位),1,5263,3898,-13.468301,-0.326917,-13.141385,0.276966,526,95
bundle_n_events_dedup,Q3(上位 3 分位),5,5263,3898,-14.250153,-0.605455,-13.644698,0.603433,526,95
bundle_n_events_dedup,Q3(上位 3 分位),15,5263,3898,-14.882406,0.189019,-15.071424,1.160202,526,95
bundle_n_events_dedup,Q3(上位 3 分位),30,5263,3898,-14.506828,1.660053,-16.166881,1.628448,526,95
bundle_n_events_dedup,Q3(上位 3 分位),60,5262,3898,-14.516454,4.425923,-18.942377,2.143801,525,95
bundle_n_events_dedup,Q3(上位 3 分位),240,5262,3898,-17.975170,22.559461,-40.534631,3.945592,525,95
bundle_total_notional,Q1(下位 3 分位),1,7066,6387,-4.133644,-0.418126,-3.715519,0.142312,706,339
bundle_total_notional,Q1(下位 3 分位),5,7066,6387,-3.926463,-0.830664,-3.095799,0.315820,706,339
bundle_total_notional,Q1(下位 3 分位),15,7066,6387,-3.904213,0.152089,-4.056301,0.574880,706,339
bundle_total_notional,Q1(下位 3 分位),30,7066,6386,-3.523640,0.268542,-3.792182,0.857881,706,339
bundle_total_notional,Q1(下位 3 分位),60,7065,6386,-3.837412,2.987896,-6.825308,1.182956,706,339
