date,funding_3d_mean,premium_1d,ls_ratio,toptrader_ls,tone_7d_mean,ret_28d,close
2023-07-25,7.855333333333334e-05,-0.00040826,2.0379835492361114,1.2423268465277773,0.6726571428571428,-0.04914206345166987,29224.0
2023-07-26,8.181888888888888e-05,-0.00052432,1.8254494758680555,1.2844982122222222,0.5800428571428571,-0.024398430659164333,29354.0
2023-07-27,6.571222222222222e-05,-0.00043669,1.5550258307638882,1.2883171943750003,0.40327142857142856,-0.04106974780305566,29219.0
2023-07-28,6.234333333333334e-05,-0.00046859,1.592976393923612,1.3072430293055552,0.3919142857142857,-0.03854222074519963,29317.0
2023-07-29,5.8874444444444456e-05,-0.00047387,1.5308805267708334,1.3160631924652775,0.4129,-0.04110533312267597,29360.0
2023-07-30,6.801444444444445e-05,-0.0003198,1.5610545210416673,1.3165462802777772,0.4513857142857143,-0.044652212618981946,29279.0
2023-07-31,6.459444444444443e-05,-0.00041968,1.5769944240972202,1.3232468222916673,0.41995714285714286,-0.06384124412566339,29231.0
2023-08-01,6.567333333333334e-05,-0.00033158,1.9954145002430559,1.282197289583334,0.3153,-0.03556033138959351,29696.0
2023-08-02,7.893111111111111e-05,-0.0004725,1.6040188278819445,1.38011288625,0.32154285714285713,-0.044824398016949804,29164.0
2023-08-03,9.229777777777777e-05,-0.00046276,1.9813497414930572,1.3054422396527776,0.46862857142857145,-0.024913284168433476,29176.0
2023-08-04,9.790666666666668e-05,-0.00043205,1.9677736350000008,1.2976184877777768,0.48041428571428574,-0.042783133818631275,29077.0
2023-08-05,9.144111111111112e-05,-0.00051729,2.1656068585763886,1.2846164553819446,0.45434285714285716,-0.0419326034255618,29049.0
2023-08-06,9.144111111111112e-05,-0.00043098,2.182996848437499,1.3021705570833335,0.42874285714285715,-0.03800555359193418,29042.0
2023-08-07,9.094444444444445e-05,-0.00035949,2.145012688541668,1.2966278327430558,0.4034714285714286,-0.04161534684522123,29181.0
2023-08-08,9.194333333333334e-05,-0.00044201,1.571173518715278,1.3124818532986111,0.4681285714285715,-0.02838643855445621,29764.0
2023-08-09,8.807e-05,-0.00029428,1.1392462234843213,1.3504083267247389,0.48082857142857144,-0.02725909851267768,29565.0
2023-08-10,8.874555555555556e-05,-0.00039721,1.477054608125,1.3432975868749986,0.5232142857142857,-0.06728980544379243,29423.0
2023-08-11,9.101555555555556e-05,-0.00038061,1.7459067497222225,1.3336927011111113,0.5649428571428572,-0.031243646993289697,29398.0
2023-08-12,9.411666666666667e-05,-0.00033089,1.832267503854167,1.3354136897916662,0.5836285714285714,-0.02967596695463727,29415.0
2023-08-13,9.007222222222223e-05,-0.00036366,1.9326236823263894,1.3390925349652774,0.5504285714285714,-0.032554061328801474,29284.0
2023-08-14,9.326888888888889e-05,-0.00039777,1.9177987721874996,1.362408839166668,0.5959428571428572,-0.025050838183450178,29408.0
2023-08-15,9.40411111111111e-05,-0.00042735,1.9779505105208328,1.362641479201389,0.6560857142857143,-0.02357832805146859,29172.0
2023-08-16,0.0001,-0.00057799,2.2311233675347233,1.3561673005555546,0.7136571428571428,-0.04156176472370069,28701.0
2023-08-17,0.0001,-0.00059823,2.5978905161458323,1.2888761586111097,0.6694428571428572,-0.11222079759733002,26642.0
2023-08-18,8.346666666666667e-05,-0.00039756,2.106140638298611,1.053683068368057,0.5382142857142858,-0.13806984795915178,26051.0
2023-08-19,4.359777777777777e-05,-0.00043027,2.324868849687498,1.2341863037152778,0.5090714285714285,-0.13231883265673516,26097.0
2023-08-20,1.7911111111111117e-06,-0.00053817,2.548744383819446,1.2724601736458332,0.5520428571428571,-0.13857268804353598,26192.0
2023-08-21,-1.9008888888888888e-05,-0.00039917,2.4468313817013887,1.2119588965625006,0.5064285714285715,-0.11048801738040519,26125.0
2023-08-22,-1.1571111111111112e-05,-0.00032651,2.3532197715625007,1.1850983992708342,0.4657857142857143,-0.11527967018644479,26042.0
2023-08-23,1.9777777777777776e-07,-0.00055796,2.2505880800000004,1.2201910439583328,0.41151428571428567,-0.10489125949590491,26431.0
2023-08-24,9.29111111111111e-06,-0.00058302,2.1312667454166676,1.2037697840972228,0.42708571428571435,-0.11028189236600662,26168.0
2023-08-25,1.6567777777777776e-05,-0.00032257,2.386898368020833,1.2335991106597233,0.5288857142857142,-0.1182265627273345,26048.0
2023-08-26,2.5772222222222225e-05,-0.00056832,2.3129063699305545,1.2434596351736111,0.541642857142857,-0.12122902074471058,26008.0
2023-08-27,2.6575555555555558e-05,-0.00054781,2.3154342701041672,1.2164525437152771,0.5329142857142858,-0.11531843635578211,26090.0
2023-08-28,2.79e-05,-0.00047465,2.3814401933680553,1.193989332673611,0.5679142857142858,-0.11317953971257648,26103.0
2023-08-29,8.354444444444445e-06,-0.00065997,1.9393435440624995,1.1969226564583333,0.5398571428571428,-0.06864175548760572,27726.0
2023-08-30,1.8616666666666667e-05,-0.00032123,1.3626439427777786,1.2330779327083325,0.4957857142857143,-0.0660483697532698,27300.0
2023-08-31,2.897222222222222e-05,-0.00039117,1.7161274168402776,1.2318419169097221,0.3559714285714285,-0.1178687261936298,25932.0
2023-09-01,5.2467777777777775e-05,-0.00040426,2.3570821238194406,1.2464738723958328,0.29961428571428567,-0.11965051411425279,25798.0
2023-09-02,4.177222222222222e-05,-0.00055922,2.3643524995833323,1.259762275763889,0.3222714285714286,-0.11590006309956592,25870.0
2023-09-03,3.0762222222222226e-05,-0.00033963,2.2862816779861097,1.2199512805208323,0.32484285714285716,-0.11180103243388857,25970.0
2023-09-04,1.7756666666666665e-05,-0.00047401,2.2824612719791664,1.2100569305902775,0.36275714285714283,-0.12240715755385437,25819.0
2023-09-05,1.8286666666666666e-05,-0.00049426,2.412870142638889,1.183543069131944,0.44079999999999997,-0.14358424951584223,25783.0
2023-09-06,1.067e-05,-0.00058764,2.489676147222224,1.1839455354861115,0.4925428571428571,-0.1382342750824238,25748.0
2023-09-07,2.348888888888889e-05,-0.00056596,2.401990011979164,1.1878011863194444,0.595,-0.11430118671828823,26245.0
2023-09-08,1.4491111111111111e-05,-0.00043463,1.9755130190972219,1.1754428678472222,0.6099285714285714,-0.12637484349912534,25908.0
2023-09-09,8.802222222222221e-06,-0.00038712,2.0249038201388903,1.141627709131944,0.5528428571428572,-0.12730039039492394,25899.0
2023-09-10,-9.833333333333336e-07,-0.0005335,2.0662240694791647,1.1523112498611114,0.5871857142857143,-0.1252724236141699,25836.0
2023-09-11,5.755555555555555e-06,-0.00058479,2.3586832435763894,1.1286324776736123,0.5001285714285714,-0.15621006222999473,25155.0
2023-09-12,1.5382222222222224e-05,-0.00059824,1.9067505767719295,1.0939380468421056,0.34325714285714276,-0.12113087942606765,25844.0
2023-09-13,1.635e-05,-0.00044356,1.6279377549652787,1.1169782523611103,0.2796571428571428,-0.0901806802549075,26226.0
2023-09-14,1.1661111111111111e-05,-0.0004934,1.3852004080555558,1.1216529390624996,0.27022857142857143,-0.004250443667563327,26529.0
2023-09-15,1.1112222222222221e-05,-0.00028839,1.3336658874652776,1.1028264372222216,0.33587142857142854,0.0211181838839077,26607.0
2023-09-16,-6.180000000000001e-06,-0.00053351,1.417269246354167,1.111950079201389,0.28581428571428574,0.018000030302042145,26571.0
2023-09-17,-2.2388888888888893e-06,-0.00039006,1.3900106119097222,1.1116204592013892,0.24591428571428572,0.013010595651079255,26535.0
2023-09-18,-1.430777777777778e-05,-0.00049837,1.2445455044444445,1.1080731183680557,0.3291857142857143,0.02438914724728615,26770.0
2023-09-19,-5.86111111111111e-06,-0.00046636,1.239278957222222,1.0943360962847222,0.44901428571428564,0.04402092746213003,27214.0
2023-09-20,-1.705e-05,-0.00062621,1.3380056369791666,1.0911627378472213,0.5373142857142856,0.026028841130235396,27128.0
2023-09-21,3.4011111111111105e-06,-0.00055629,1.5452726407291661,1.084655353923612,0.5249714285714285,0.014981979800804183,26563.0
2023-09-22,8.254444444444442e-06,-0.00049796,1.6939213888194447,1.0889679311805553,0.5020857142857141,0.02025568502965481,26581.0
2023-09-23,2.5835555555555555e-05,-0.00048056,1.7439427852777771,1.086344502083333,0.5874428571428572,0.02186773073167089,26583.0
2023-09-24,1.973888888888889e-05,-0.00059667,1.7623686314583327,1.0834638015277784,0.5815857142857143,0.006037696510163472,26248.0
2023-09-25,2.9726666666666664e-05,-0.00050562,1.9430920979166677,1.0851121918750009,0.5534714285714285,0.007404613984357863,26297.0
2023-09-26,2.090444444444444e-05,-0.000466,1.8499216901041657,1.0920632700694437,0.5079142857142857,-0.05630589344552543,26208.0
2023-09-27,3.110444444444444e-05,-0.00046662,1.7776289451041656,1.0967880096874998,0.3695,-0.03500105700909825,26361.0
2023-09-28,1.1397777777777778e-05,-0.00034376,1.445473551493056,1.0689021863888897,0.4296857142857143,0.04132163830314513,27026.0
2023-09-29,4.191111111111111e-06,-0.00066077,1.1358616938194452,1.0772922576388877,0.4460714285714285,0.042238155412146816,26911.0
2023-09-30,-8.435555555555555e-06,-0.00045002,1.2456496036111118,1.090757355729167,0.3909428571428571,0.041492817013944965,26966.0
2023-10-01,-5.044444444444444e-06,0.00044271,1.2040802603472214,1.0924985208680555,0.36352857142857137,0.0750838971261995,27995.0
2023-10-02,7.252222222222223e-06,-0.0006077,0.9363972989583333,1.1182256575347227,0.2328285714285714,0.06332986273431483,27507.0
2023-10-03,1.2037777777777777e-05,-0.00050307,1.2850029040277777,1.1129210029861114,0.22031428571428568,0.062104210491766176,27435.0
2023-10-04,2.5327777777777777e-05,-0.0007563,1.4561944387847232,1.0989735653472235,0.25857142857142856,0.0763192895640429,27790.0
2023-10-05,8.151111111111111e-06,-0.00055535,1.2984535282638885,1.0974624039583332,0.15188571428571424,0.04368776425391112,27417.0
2023-10-06,-4.246666666666669e-06,-0.00060963,1.2380728233680542,1.0940175318750003,0.13979999999999998,0.07579383936953372,27948.0
2023-10-07,-6.822222222222221e-06,-0.00045665,0.9468539951736109,1.1163435399652764,0.19872857142857142,0.07696390124532727,27971.0
2023-10-08,1.1875555555555556e-05,-0.00064606,1.0001023667361109,1.1194158371527783,0.17174285714285714,0.07803991740427611,27933.0
2023-10-09,3.205777777777778e-05,-0.00019867,1.1944565915625003,1.124051904444445,0.2595142857142857,0.09254167384255989,27594.0
2023-10-10,3.843e-05,-0.00029786,1.3309649035763886,1.1124546867708334,0.25845714285714283,0.058282049294459945,27395.0
2023-10-11,5.411444444444445e-05,-0.00047658,1.816857313472222,1.1485745430555552,0.22819999999999996,0.024407991343985504,26874.0
2023-10-12,5.9247777777777774e-05,-0.00061969,1.8834413065277777,1.1667826986458332,0.3155142857142857,0.00852027299445395,26756.0
2023-10-13,5.2434444444444436e-05,-0.00046731,1.8119892860416675,1.1697130219791665,0.30208571428571424,0.009724428652973257,26867.0
2023-10-14,3.488444444444444e-05,-0.00065155,1.7971600639930552,1.1562841489236113,0.2991428571428571,0.010631627861867003,26855.0
2023-10-15,1.8264444444444447e-05,-0.00058603,1.7582018886111093,1.1536050658680566,0.3058714285714285,0.023796017522273633,27174.0
2023-10-16,2.2179999999999998e-05,-0.00055068,1.2267876992708335,1.1631931211111124,0.34994285714285717,0.06325360932766622,28518.0
2023-10-17,1.6195555555555556e-05,-0.00052548,1.05236052,1.1607367257291665,0.3849,0.04293924887212016,28408.0
2023-10-18,7.393333333333333e-06,-0.0004751,1.057832720833333,1.155321249027778,0.48982857142857145,0.04328430998626503,28328.0
2023-10-19,-1.7985555555555554e-05,-0.00079709,1.0394184941666664,1.1230715831250002,0.49374285714285715,0.07852701796928514,28733.0
2023-10-20,-2.2466666666666666e-05,-0.00053447,0.7771894565972218,1.1258639331597213,0.5163571428571428,0.11054624890851197,29688.0
2023-10-21,-9.654444444444444e-06,-0.00049721,0.7333225194791674,1.140123693611111,0.5124000000000001,0.11848916922853041,29927.0
2023-10-22,1.3588888888888887e-05,-0.00025717,0.7022766619097216,1.1402552460763886,0.5547714285714286,0.13367425044789816,30002.0
2023-10-23,3.929444444444444e-05,0.0,0.6689060633680551,1.208270894756945,0.5463714285714286,0.22929261099164983,33074.0
2023-10-24,6.305444444444445e-05,-3.714e-05,0.8448722771527777,1.510874016388889,0.5598571428571428,0.25785165594546916,33917.0
2023-10-25,8.72088888888889e-05,-0.00020853,0.8463748617361109,1.5125960114930552,0.5792857142857143,0.26901570616062137,34498.0
2023-10-26,0.0001,4.809e-05,0.8492073453472221,1.488702364861111,0.5065142857142857,0.23440236261684738,34165.0
2023-10-27,0.0001,-5.83e-06,0.927489743784722,1.521597602534723,0.47679999999999995,0.23105686492067012,33906.0
2023-10-28,0.0001,0.00016194,0.9473004792013892,1.4970663415625003,0.4729285714285714,0.23445660662326853,34091.0
2023-10-29,0.0001,3.701e-05,0.9188369519791664,1.4843240758680558,0.5035571428571428,0.21003424436162163,34538.0
2023-10-30,0.0001,0.00021292,0.9365672498263883,1.4711966709375006,0.5618,0.22637386826219852,34495.0
2023-10-31,0.0001,0.00039253,0.9955681746874995,1.4857765947569446,0.6194285714285714,0.23379556506256943,34661.0
2023-11-01,0.0001,0.00042066,0.9305983331944445,1.4743400567708336,0.6077,0.24316488198246788,35440.0
2023-11-02,0.0001,-1.795e-05,0.9353102951041663,1.4789303881944447,0.6567285714285714,0.24238318058461114,34937.0
2023-11-03,0.0001,-0.00042721,1.0688560746180562,1.4732343731597224,0.4816428571428571,0.21717184168402084,34727.0
2023-11-04,0.0001,0.00026784,0.9805812559027781,1.4219445319097228,0.4373285714285714,0.22663393134017035,35086.0
2023-11-05,0.0001,0.00045722,0.8718859509027778,1.4183029588888898,0.40657142857142853,0.22682416437778566,35045.0
2023-11-06,0.0001,0.00045743,0.8852573337847224,1.4321563237847217,0.3762857142857143,0.238948984279054,35042.0
2023-11-07,0.0001,0.00017463,0.9619806814236116,1.4009714765277774,0.33777142857142856,0.256746707193646,35414.0
2023-11-08,0.0001,0.00012288,0.8081740690624996,1.3889684310416657,0.38294285714285714,0.2823093261493905,35640.0
2023-11-09,0.00011114111111111111,0.00062107,0.7910893517708334,1.3924817805208338,0.4515714285714285,0.31582725391717403,36693.0
2023-11-10,0.00011300999999999999,0.00078381,0.9845313308333336,1.4906298960763888,0.6498571428571429,0.3286038126207148,37319.0
2023-11-11,0.00012551555555555556,0.00079434,0.9823611489895478,1.436653136515678,0.5634428571428571,0.3245655821580584,37152.0
2023-11-12,0.00015452777777777776,0.00060242,0.9568858297569443,1.4499978788541668,0.5800142857142857,0.31097890610305945,37086.0
2023-11-13,0.00019027222222222222,0.00049216,1.0444432628125004,1.3917683727430556,0.5749714285714286,0.24636575035765604,36485.0
2023-11-14,0.00019802000000000003,0.00033634,1.1657111126041666,1.3915768830555542,0.5137714285714285,0.22466309461810585,35564.0
2023-11-15,0.00015786666666666666,0.00078402,1.158212060069444,1.3461958252777775,0.4706857142857143,0.2904933529063089,37877.0
2023-11-16,0.00012826777777777778,0.0003233,0.9575604666666675,1.3343622673263886,0.37972857142857147,0.23004551229507186,36165.0
2023-11-17,0.00010801444444444445,0.00032379,1.2784840123958334,1.3345740155902779,0.3531571428571429,0.20998814357893483,36625.0
2023-11-18,0.00010801444444444445,0.00036149,1.167879253611112,1.3571160679166658,0.42267142857142864,0.20101389606930997,36590.0
2023-11-19,0.0001,0.00029839,1.1124566392013888,1.359751529409722,0.3497714285714286,0.2211016039488981,37426.0
2023-11-20,0.0001,0.00047309,0.9060947940780141,1.3912893489716311,0.36772857142857146,0.1250599821422167,37480.0
2023-11-21,0.0001,-0.00035505,0.9043369127430554,1.3618606690277784,0.34154285714285715,0.05285765671350031,35758.0
2023-11-22,0.0001,0.0001908,1.0715291436458338,1.3081964185069446,0.21894285714285713,0.08141085849938609,37424.0
