cascade_id,exchange,kind,start_ms,start_utc,end_ms,end_utc,n_events,total_size,direction,first_price,last_price,anchor_ts_ms,anchor_price,bp_1m,bp_5m,bp_15m,bp_60m,group,internal_bp
binance_cm_no_liq_002527,binance_cm,no_liquidation,1718615159707,2024-06-17T09:05:59.707Z,1718615168716,2024-06-17T09:06:08.716Z,0,0.0,none,,,1718615160000,66178.0,1.4204116171528574,-10.078878177037247,-14.204116171537368,-81.8852186527236,noliq_long,4.338670250478401
binance_cm_no_liq_002528,binance_cm,no_liquidation,1727102629732,2024-09-23T14:43:49.732Z,1727102632787,2024-09-23T14:43:52.787Z,0,0.0,none,,,1727102580000,63178.0,2.8649213333753116,17.521922188102995,27.28797999303578,65.41834182785193,noliq_long,0.0
binance_cm_no_liq_002529,binance_cm,no_liquidation,1726731882350,2024-09-19T07:44:42.350Z,1726731886250,2024-09-19T07:44:46.250Z,0,0.0,none,,,1726731840000,62100.8,2.7857934197297998,7.520031948058171,-3.2044675752971705,-26.48919176564553,noliq_long,0.0
binance_cm_no_liq_002530,binance_cm,no_liquidation,1718336850368,2024-06-14T03:47:30.368Z,1718336879405,2024-06-14T03:47:59.405Z,0,0.0,none,,,1718336820000,66685.9,1.4095933323249341,0.3299048224604664,9.957127368755426,0.5848312761781324,noliq_long,0.0
binance_cm_no_liq_002531,binance_cm,no_liquidation,1718590718028,2024-06-17T02:18:38.028Z,1718590719103,2024-06-17T02:18:39.103Z,0,0.0,none,,,1718590680000,66350.1,-0.8440077709009964,-10.203451087490693,-19.939683587515752,-7.0685650812898135,noliq_long,0.0
binance_cm_no_liq_002532,binance_cm,no_liquidation,1728559636284,2024-10-10T11:27:16.284Z,1728559656323,2024-10-10T11:27:36.323Z,0,0.0,none,,,1728559620000,61103.1,-2.471233047095572,0.7855575249051048,13.010796506232909,10.735952840363018,noliq_long,0.0
binance_cm_no_liq_002533,binance_cm,no_liquidation,1728389951338,2024-10-08T12:19:11.338Z,1728390027298,2024-10-08T12:20:27.298Z,0,0.0,none,,,1728390000000,62496.0,-3.0561955965179446,5.616359447004376,9.776625704044825,-12.960829493087559,noliq_long,0.04800330262768645
binance_cm_no_liq_002534,binance_cm,no_liquidation,1720190002490,2024-07-05T14:33:22.490Z,1720190002491,2024-07-05T14:33:22.491Z,0,0.0,none,,,1720189980000,55377.9,4.081050382914221,15.908873395343367,54.082946446145485,179.22311969215156,noliq_long,0.0
binance_cm_no_liq_002535,binance_cm,no_liquidation,1721661106269,2024-07-22T15:11:46.269Z,1721661136298,2024-07-22T15:12:16.298Z,0,0.0,none,,,1721661120000,66797.1,4.625949330134718,-2.5001085376478382,7.590149871775434,47.74159357217516,noliq_long,7.7158644165308266
binance_cm_no_liq_002536,binance_cm,no_liquidation,1722740871641,2024-08-04T03:07:51.641Z,1722740871642,2024-08-04T03:07:51.642Z,0,0.0,none,,,1722740820000,60797.9,0.5756777783443178,-19.70462795590027,-17.122301921612184,-25.3133743106261,noliq_long,0.0
