t_send,t_recv,rtt_ms,endpoint,http_status,ws_lag_ms,ws_note
1789417582.9118035,1789417583.124496,212.6924991607666,private:getpermissions,200,14467.363834381104,ok
1789417612.8941298,1789417612.9096334,15.503644943237305,public:getticker,200,44301.61142349243,unchanged
1789417612.9096515,1789417612.9587433,49.09181594848633,private:getpermissions,200,44301.61142349243,unchanged
1789417642.8972783,1789417642.9177675,20.489215850830078,public:getticker,200,14525.235176086426,ok
1789417642.9177835,1789417642.9679484,50.16493797302246,private:getpermissions,200,14525.235176086426,ok
1789417672.8981745,1789417673.5409148,642.7402496337891,public:getticker,200,45155.903577804565,unchanged
1789417673.540933,1789417673.5986161,57.68322944641113,private:getpermissions,200,45155.903577804565,unchanged
1789417702.8994,1789417702.9352624,35.86244583129883,public:getticker,200,14262.218952178955,ok
1789417702.9352796,1789417702.9842944,49.01480674743652,private:getpermissions,200,14262.218952178955,ok
1789417732.8996723,1789417732.9353404,35.668134689331055,public:getticker,200,44254.48226928711,unchanged
1789417732.9353561,1789417732.9765563,41.20016098022461,private:getpermissions,200,44254.48226928711,unchanged
1789417762.9020638,1789417762.9372754,35.21156311035156,public:getticker,200,13903.34701538086,ok
1789417762.937292,1789417762.9925494,55.257320404052734,private:getpermissions,200,13903.34701538086,ok
1789417792.9027157,1789417792.9189293,16.213655471801758,public:getticker,200,43875.011682510376,unchanged
1789417792.9189453,1789417792.964214,45.26877403259277,private:getpermissions,200,43875.011682510376,unchanged
1789417822.904009,1789417822.9239626,19.953489303588867,public:getticker,200,14244.544744491577,ok
1789417822.9239838,1789417822.9779358,53.95197868347168,private:getpermissions,200,14244.544744491577,ok
1789417852.9042544,1789417852.9259377,21.683216094970703,public:getticker,200,44248.0366230011,unchanged
1789417852.925954,1789417852.9814272,55.47308921813965,private:getpermissions,200,44248.0366230011,unchanged
1789417882.9063976,1789417882.9265664,20.168781280517578,public:getticker,200,14288.444757461548,ok
1789417882.9265828,1789417882.9775367,50.95386505126953,private:getpermissions,200,14288.444757461548,ok
1789417912.9076085,1789417913.012648,105.03959655761719,public:getticker,200,44379.64940071106,unchanged
1789417913.012677,1789417913.0687408,56.06389045715332,private:getpermissions,200,44379.64940071106,unchanged
1789417942.909298,1789417942.934142,24.84416961669922,public:getticker,200,13695.337533950806,ok
1789417942.9341598,1789417942.976946,42.786359786987305,private:getpermissions,200,13695.337533950806,ok
1789417972.9095526,1789417972.9423087,32.75609016418457,public:getticker,200,43882.5044631958,unchanged
1789417972.9423244,1789417973.1641128,221.7884063720703,private:getpermissions,200,43882.5044631958,unchanged
1789418002.9115064,1789418002.9479835,36.477088928222656,public:getticker,200,13436.986446380615,ok
1789418002.948,1789418002.989486,41.48602485656738,private:getpermissions,200,13436.986446380615,ok
1789418032.9124365,1789418032.9280145,15.578031539916992,public:getticker,200,43439.69130516052,unchanged
1789418032.9280307,1789418032.9921904,64.15963172912598,private:getpermissions,200,43439.69130516052,unchanged
1789418062.9138632,1789418062.9524384,38.575172424316406,public:getticker,200,13402.282238006592,ok
1789418062.9524546,1789418063.0000887,47.634124755859375,private:getpermissions,200,13402.282238006592,ok
1789418092.914512,1789418092.9311323,16.620397567749023,public:getticker,200,43370.34368515015,unchanged
1789418092.931149,1789418092.9681494,37.000417709350586,private:getpermissions,200,43370.34368515015,unchanged
1789418122.9162152,1789418122.9344149,18.199682235717773,public:getticker,200,13421.996116638184,ok
1789418122.9344587,1789418122.9777977,43.33901405334473,private:getpermissions,200,13421.996116638184,ok
1789418152.916431,1789418152.959706,43.27511787414551,public:getticker,200,43457.98873901367,unchanged
1789418152.9597225,1789418153.0137806,54.058074951171875,private:getpermissions,200,43457.98873901367,unchanged
1789418182.9189394,1789418182.9367895,17.850160598754883,public:getticker,200,12421.505689620972,ok
1789418182.9368057,1789418182.9811473,44.3415641784668,private:getpermissions,200,12421.505689620972,ok
1789418213.306922,1789418213.3696134,62.691450119018555,public:getticker,200,42998.95977973938,unchanged
1789418213.3696318,1789418213.5586016,188.96985054016113,private:getpermissions,200,42998.95977973938,unchanged
1789418243.307203,1789418243.3221426,14.939546585083008,public:getticker,200,12570.945739746094,ok
1789418243.3221595,1789418243.3774695,55.31001091003418,private:getpermissions,200,12570.945739746094,ok
1789418273.307462,1789418273.322716,15.254020690917969,public:getticker,200,42559.170961380005,unchanged
1789418273.3227427,1789418273.3656938,42.951107025146484,private:getpermissions,200,42559.170961380005,unchanged
1789418303.3084621,1789418303.325688,17.22574234008789,public:getticker,200,12713.84072303772,ok
1789418303.3257067,1789418303.4267209,101.0141372680664,private:getpermissions,200,12713.84072303772,ok
1789418333.3093388,1789418333.3411763,31.83746337890625,public:getticker,200,42673.521757125854,unchanged
1789418333.3411925,1789418333.386402,45.209407806396484,private:getpermissions,200,42673.521757125854,unchanged
1789418363.3105457,1789418363.3445091,33.96344184875488,public:getticker,200,10535.404443740845,ok
1789418363.3445277,1789418363.3952584,50.73070526123047,private:getpermissions,200,10535.404443740845,ok
1789418393.31032,1789418393.3259175,15.59758186340332,public:getticker,200,40732.094049453735,unchanged
1789418393.536456,1789418393.591955,55.49883842468262,private:getpermissions,200,40732.094049453735,unchanged
