date,date_t1,open_t,close_t,open_t1,close_t1,r,r_night_bps,r_day_bps,nights,cost_bps_cons,cost_bps_opt,r_net_bps_cons,r_net_bps_opt,pnl_yen_cons,roll_monthly,roll_quarterly,nightless_marked,is_glitch,night_open,night_close,has_night,leg_b_bps,leg_a_bps,leg_c_bps,regime,weekday,month,year,vol20,vol_tercile,sq_dist_td
2023-06-23,2023-06-26,33450.0,32670.0,32570.0,32650.0,-0.003060912151821249,-30.60912151821249,-233.1838565022426,3,3.7343128252219158,0.6734006734006733,-34.3434343434344,-31.282522191613165,-1122.0,False,False,False,False,32690.0,32600.0,True,-27.531355154482018,6.121824303642054,-9.202453987730008,2020-12-21..2024-11-04(引け 15:15),Friday,6,2023,0.011384509506402136,mid,10
2023-06-26,2023-06-27,32570.0,32650.0,32500.0,32570.0,-0.004594180704441064,-45.941807044410645,24.56248081056156,1,3.7366003062787136,0.6738131699846861,-49.678407350689355,-46.61562021439533,-1622.0,False,False,False,False,32550.0,32530.0,True,-6.144393241167556,-30.62787136294043,-9.222256378726978,2020-12-21..2024-11-04(引け 15:15),Monday,6,2023,0.012133305667519793,mid,11
2023-06-27,2023-06-28,32500.0,32570.0,32680.0,33140.0,0.003377341111452159,33.77341111452159,21.53846153846173,1,3.745778323610685,0.6754682222904513,30.027632790910907,33.097942892231146,978.0,False,False,False,False,32550.0,32770.0,True,67.5883256528409,-6.14062020264039,-27.464144034177185,2020-12-21..2024-11-04(引け 15:15),Tuesday,6,2023,0.011996077627091397,mid,12
2023-06-28,2023-06-29,32680.0,33140.0,33310.0,33180.0,0.005129752564876355,51.29752564876355,140.75887392900776,1,3.6813518406759203,0.6638503319251661,47.61617380808763,50.633675316838385,1578.0,False,False,False,False,33160.0,33230.0,True,21.109770808203088,6.0350030175015945,24.07463135720711,2020-12-21..2024-11-04(引け 15:15),Wednesday,6,2023,0.012040009740602816,mid,12
2023-06-29,2023-06-30,33310.0,33180.0,33070.0,33190.0,-0.0033152501506932275,-33.152501506932275,-39.027319123385865,1,3.676913803496082,0.6630500301386377,-36.82941531042836,-33.81555153707091,-1222.0,False,False,False,False,33180.0,33130.0,True,-15.069318866787196,0.0,-18.11047389073339,2020-12-21..2024-11-04(引け 15:15),Thursday,6,2023,0.011660323279559336,mid,11
2023-06-30,2023-07-03,33070.0,33190.0,33470.0,33650.0,0.008436275986742903,84.36275986742902,36.28666465073982,3,3.6758059656523048,0.6628502561012353,80.68695390177672,83.69990961132778,2678.0,False,False,False,False,33200.0,33420.0,True,66.26506024096423,3.0129557095515125,14.961101137043187,2020-12-21..2024-11-04(引け 15:15),Friday,6,2023,0.011582108452522851,mid,10
2023-07-03,2023-07-04,33470.0,33650.0,33530.0,33320.0,-0.0035661218424962726,-35.661218424962726,53.7795040334621,1,3.62555720653789,0.6537890044576523,-39.28677563150062,-36.315007429420376,-1322.0,False,False,False,False,33720.0,33590.0,True,-38.552787663107544,20.80237741456159,-17.862459065197676,2020-12-21..2024-11-04(引け 15:15),Monday,7,2023,0.011371664817394283,mid,9
2023-07-04,2023-07-05,33530.0,33320.0,33170.0,33320.0,-0.004501800720288163,-45.01800720288163,-62.63048016701411,1,3.6614645858343335,0.6602641056422569,-48.67947178871596,-45.67827130852388,-1622.0,False,False,False,False,33320.0,33170.0,True,-45.01800720288163,0.0,0.0,2020-12-21..2024-11-04(引け 15:15),Tuesday,7,2023,0.010782996291525451,mid,8
2023-07-05,2023-07-06,33170.0,33320.0,33020.0,32730.0,-0.009003601440576214,-90.03601440576215,45.221585770274245,1,3.6614645858343335,0.6602641056422569,-93.69747899159648,-90.6962785114044,-3122.0,False,False,False,False,33230.0,33090.0,True,-42.13060487511244,-27.010804321728756,-21.154427319431957,2020-12-21..2024-11-04(引け 15:15),Wednesday,7,2023,0.011073895242733812,mid,7
2023-07-06,2023-07-07,33020.0,32730.0,32340.0,32430.0,-0.01191567369385882,-119.1567369385882,-87.82556026650568,1,3.727467155514818,0.6721662083715245,-122.88420409410301,-119.82890314695972,-4022.0,False,False,False,False,32600.0,32380.0,True,-67.48466257668673,-39.71891231286273,-12.353304508956331,2020-12-21..2024-11-04(引け 15:15),Thursday,7,2023,0.010206649099185552,low,6
