属性,群,下限,上限,m の群,T(秒),h(秒),群のプリント数,属性が欠測で群に入らないプリントの割合,m 平均,m 中央値,n,含む日数,r 平均(bp),r 日クラスタ SE,r naive SE,日クラスタ/naive,r 日等重み平均,r 中央値,r p25,r p75,r < 0 の割合,r < 0 の母数,同じ側の次の清算 60 秒以内の割合,同じ側の次の清算 60 秒以内の母数,同じ側の次の清算 120 秒以内の割合,同じ側の次の清算 120 秒以内の母数,同じ側の次の清算が無い(この期間の最後)
time_of_day(UTC 時、6 時間の 4 帯),UTC 00–06,,,Q2(中位 3 分位),60,900,2840,0.000000,18.513544,18.040422,2840,335,2.446746,3.069642,1.073324,2.859939,-5.554284,-6.822377,-27.735044,20.673898,0.579225,2840,0.590141,2840,0.657394,2840,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 00–06,,,Q3(上位 3 分位),60,60,2874,0.000000,54.443333,40.415418,2874,217,-1.464924,1.745184,0.914074,1.909237,-5.436801,-2.674178,-18.886522,13.194736,0.544189,2874,0.757829,2874,0.801322,2874,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 00–06,,,Q3(上位 3 分位),60,300,2874,0.000000,54.443333,40.415418,2874,217,1.583682,4.189183,1.521134,2.753986,-9.656334,-4.644241,-30.781832,25.711172,0.543145,2874,0.757829,2874,0.801322,2874,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 00–06,,,Q3(上位 3 分位),60,900,2874,0.000000,54.443333,40.415418,2874,217,-2.708399,6.174516,1.803293,3.424023,-16.099734,-10.514324,-47.173732,35.883579,0.570285,2874,0.757829,2874,0.801322,2874,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 06–12,,,Q1(下位 3 分位),60,60,3754,0.000000,7.416855,7.673995,3754,419,-0.345292,0.244879,0.180323,1.357997,-0.434619,-0.624497,-5.148857,3.616206,0.538359,3754,0.402238,3754,0.484283,3754,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 06–12,,,Q1(下位 3 分位),60,300,3754,0.000000,7.416855,7.673995,3754,419,-1.257465,0.521276,0.322315,1.617288,-2.254919,-2.322926,-10.883134,6.548457,0.582312,3754,0.402238,3754,0.484283,3754,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 06–12,,,Q1(下位 3 分位),60,900,3754,0.000000,7.416855,7.673995,3754,419,-1.020654,1.016023,0.516707,1.966345,-3.703363,-4.115010,-16.948670,11.023912,0.582579,3754,0.402238,3754,0.484283,3754,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 06–12,,,Q2(中位 3 分位),60,60,2999,0.000000,18.478219,18.054182,2999,332,-1.496477,0.458718,0.262864,1.745081,-2.158703,-2.133106,-9.188589,4.994548,0.587863,2999,0.578193,2999,0.651217,2999,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 06–12,,,Q2(中位 3 分位),60,300,2999,0.000000,18.478219,18.054182,2999,332,-1.736857,1.090211,0.493990,2.206952,-3.430837,-4.573470,-17.293358,10.941058,0.577859,2999,0.578193,2999,0.651217,2999,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 06–12,,,Q2(中位 3 分位),60,900,2999,0.000000,18.478219,18.054182,2999,332,-0.562284,2.136300,0.801426,2.665623,-6.566323,-5.967328,-25.312050,17.160546,0.574191,2999,0.578193,2999,0.651217,2999,0
time_of_day(UTC 時、6 時間の 4 帯),UTC 06–12,,,Q3(上位 3 分位),60,60,2236,0.000000,46.843085,37.515014,2236,188,-3.599824,1.267719,0.608401,2.083690,-7.082216,-4.754532,-18.251035,8.713768,0.592576,2236,0.733900,2236,0.780859,2236,0
