effective_date,ticker,name,action
2002-09-19,5404,日本鋼管,delete
2002-09-25,6781,松下通信工業,delete
2002-09-25,9201,日本航空,delete
2002-09-27,5016,新日鉱ホールディングス,add
2002-09-27,5411,JFEホールディングス,add
2002-10-02,9737,CSK,add
2002-10-02,9205,日本航空システム,add
2002-10-02,1301,極洋,delete
2002-10-02,1805,飛鳥建設,delete
2002-11-26,8318,三井住友銀行,delete
2002-12-03,8316,三井住友フィナンシャルグループ,add
2003-03-06,8305,みずほホールディングス,delete
2003-03-13,8411,みずほフィナンシャルグループ,add
2003-03-26,8063,日商岩井,delete
2003-04-02,2768,ニチメン・日商岩井ホールディングス,add
2003-08-26,8231,三越,delete
2003-09-02,2779,三越,add
2003-09-22,1947,日本コムシス,delete
2003-09-25,1963,日揮,add
2003-09-25,1837,ハザマ,delete
2003-09-30,1721,コムシスホールディングス,add
2003-10-01,9766,コナミ,add
2003-10-01,1885,東亜建設工業,delete
2004-03-26,6933,ユアサコーポレーション,delete
2004-04-02,6674,ジーエス・ユアサコーポレーション,add
2004-10-01,2282,日本ハム,add
2004-10-01,4324,電通,add
2004-10-01,9984,ソフトバンク,add
2004-10-01,2536,メルシャン,delete
2004-10-01,6474,不二越,delete
2004-10-01,7102,日本車輌製造,delete
2005-03-28,4519,中外製薬,add
2005-03-28,4689,ヤフー,add
2005-03-28,4511,藤沢薬品,delete
2005-03-28,8232,東急百貨店,delete
2005-05-13,3102,カネボウ,delete
2005-05-17,4183,三井化学,add
2005-08-26,9983,ファーストリテイリング,add
2005-08-26,8183,セブン-イレブン・ジャパン,delete
2005-08-26,8264,イトーヨーカ堂,delete
2005-09-02,3382,セブン&アイ・ホールディングス,add
2005-09-21,4795,スカイパーフェクト・コミニュケーションズ,add
2005-09-21,8303,新生銀行,add
2005-09-21,4501,三共,delete
2005-09-21,4505,第一製薬,delete
2005-09-27,8795,T&Dホールディングス,add
2005-09-27,4010,三菱化学,delete
2005-09-27,8307,UFJホールディングス,delete
2005-09-29,4568,第一三共,add
2005-10-04,4188,三菱ケミカルホールディングス,add
2005-10-04,2201,森永製菓,delete
2006-03-28,8015,豊田通商,add
2006-03-28,1601,帝国石油,delete
2006-03-28,8003,トーメン,delete
2006-04-04,1605,国際石油開発帝石ホールディングス,add
2006-10-02,8815,東急不動産,add
2006-10-02,9602,東宝,add
2006-10-02,2001,日本製粉,delete
2006-10-02,9605,東映,delete
2007-03-27,4795,スカイパーフェクト・コミュニケーションズ,delete
2007-04-03,9412,スカパーJSAT,add
2007-10-01,3086,J・フロントリテイリング,add
2007-10-01,3436,SUMCO,add
2007-10-01,2602,日清オイリオグループ,delete
2007-10-01,7231,トピー工業,delete
2008-01-23,8603,日興コーディアルグループ,delete
2008-01-28,8354,ふくおかフィナンシャルグループ,add
2008-03-26,8270,ユニー,add
2008-03-26,2779,三越,delete
2008-03-26,8238,伊勢丹,delete
2008-03-26,8752,三井住友海上火災保険,delete
2008-04-02,3099,三越伊勢丹ホールディングス,add
2008-04-02,8725,三井住友海上グループホールディングス,add
2008-07-28,8628,松井証券,add
2008-07-28,8583,三菱UFJニコス,delete
2008-10-01,5541,大平洋金属,add
2008-10-01,6305,日立建機,add
2008-10-01,1861,熊谷組,delete
2008-10-01,4045,東亞合成,delete
2009-03-26,1334,マルハニチロホールディングス,add
2009-03-26,2202,明治製菓,delete
2009-03-26,2261,明治乳業,delete
2009-04-02,2269,明治ホールディングス,add
2010-01-20,9205,日本航空,delete
2010-01-22,9022,東海旅客鉄道,add
2010-03-29,5407,日新製鋼,add
2010-03-29,5001,新日本石油,delete
2010-03-29,5016,新日鉱ホールディングス,delete
2010-03-29,8755,損害保険ジャパン,delete
2010-04-02,5020,JXホールディングス,add
2010-04-02,8630,NKSJホールディングス,add
2010-09-28,5214,日本電気硝子,add
2010-09-28,3404,三菱レイヨン,delete
2010-10-01,8804,東京建物,add
2010-10-01,6796,クラリオン,delete
2011-03-29,6506,安川電機,add
2011-03-29,7735,大日本スクリーン製造,add
2011-03-29,8750,第一生命保険,add
2011-03-29,6764,三洋電機,delete
2011-03-29,6991,パナソニック電工,delete
2011-03-29,8403,住友信託銀行,delete
2011-08-29,8304,あおぞら銀行,add
2011-08-29,8729,ソニーフィナンシャルホールディングス,add
2011-08-29,8404,みずほ信託銀行,delete
2011-08-29,8606,みずほ証券,delete
2011-09-28,6113,アマダ,add
2011-09-28,9737,CSK,delete
2012-09-26,4043,トクヤマ,add
2012-09-26,5405,住友金属工業,delete
2012-09-26,5407,日新製鋼,delete
2012-09-26,5701,日本軽金属,delete
2012-10-02,5413,日新製鋼ホールディングス,add
2012-10-02,5703,日本軽金属ホールディングス,add
2013-03-27,3893,日本製紙グループ本社,delete
2013-04-02,3863,日本製紙,add
2013-09-26,6988,日東電工,add
2013-09-26,8815,東急不動産,delete
2013-10-02,3289,東急不動産ホールディングス,add
2013-10-02,3864,三菱製紙,delete
