入る位置,入る条件,出口,損切り,総収支_bp,中央値_入った本のみ,p25,p75,中央値_0含む,負の割合,日等重み平均,日クラスタSE,入った本数,日数,建玉の回数,前半の前_総収支_bp,前半の後_総収支_bp,合計保有時間_時間,保有1時間あたりの収支_bp/h,同時建玉の最大_本,平均保有秒,欠測,条件で外れた本数,空の理由
2件目以降だけ,なし,連鎖の終わり+d,含み損20bp,-8112.537932,-0.572932,-9.161960,6.195388,0.000000,0.522319,-1.721821,0.276704,3898,222,3898,-2937.912866,-5174.625065,70.379177,-115.269008,1,64.998727,0,0,
2件目以降だけ,なし,連鎖の終わり+d,含み損50bp,-6959.869253,0.238165,-6.516206,6.791069,0.000000,0.490764,-1.210608,0.307012,3898,222,3898,-1466.264890,-5493.604363,82.934102,-83.920476,1,76.593834,0,0,
2件目以降だけ,なし,最後のプリント+300秒+d,なし,129.219446,2.232088,-11.381009,14.758855,0.000000,0.454849,1.216203,0.506142,3898,222,3898,236.654231,-107.434785,348.109098,0.371204,4,321.496345,0,0,
2件目以降だけ,なし,最後のプリント+300秒+d,含み損20bp,-8161.812260,-2.729533,-21.196745,11.755289,0.000000,0.544382,-1.005980,0.420265,3898,222,3898,-2919.861433,-5241.950828,256.199371,-31.857269,3,236.613067,0,0,
2件目以降だけ,なし,最後のプリント+300秒+d,含み損50bp,-6918.868078,1.390427,-13.463408,13.868519,0.000000,0.472037,-0.305808,0.516193,3898,222,3898,-1308.167334,-5610.700744,320.599241,-21.581049,4,296.089602,0,0,
2件目以降だけ,なし,入ってから300秒+d,なし,142.426044,1.883792,-11.311794,14.425647,0.000000,0.463571,1.185918,0.480908,3898,222,3898,474.287660,-331.861616,325.724263,0.437260,4,300.822818,0,0,
2件目以降だけ,なし,入ってから300秒+d,含み損20bp,-8052.181091,-2.796399,-20.926600,11.676295,0.000000,0.546691,-1.005653,0.412532,3898,222,3898,-2892.350923,-5159.830168,248.862484,-32.355946,3,229.837082,0,0,
2件目以降だけ,なし,入ってから300秒+d,含み損50bp,-6851.347219,0.920740,-13.177852,13.759045,0.000000,0.480759,-0.272225,0.507185,3898,222,3898,-1300.751335,-5550.595884,304.406219,-22.507251,3,281.134528,0,0,
2件目以降だけ,材料12≥p75,連鎖の終わり+d,なし,-1029.308583,-0.060321,-6.219381,6.947182,0.000000,0.501337,-0.616151,0.426889,1496,213,1496,-616.243673,-413.064911,33.514129,-30.712676,1,80.648974,0,2402,
2件目以降だけ,材料12≥p75,連鎖の終わり+d,含み損20bp,-3191.630665,-1.006126,-9.012120,6.057354,0.000000,0.539439,-1.821717,0.401316,1496,213,1496,-1359.720400,-1831.910266,26.769861,-119.224775,1,64.419452,0,2402,
2件目以降だけ,材料12≥p75,連鎖の終わり+d,含み損50bp,-2746.143573,-0.256202,-6.610558,6.701096,0.000000,0.508021,-1.333115,0.417457,1496,213,1496,-986.274399,-1759.869174,31.519029,-87.126527,1,75.847932,0,2402,
2件目以降だけ,材料12≥p75,最後のプリント+300秒+d,なし,-409.979202,1.975832,-11.686509,13.845685,0.000000,0.461230,1.141745,0.853320,1496,213,1496,-739.300949,329.321747,133.437476,-3.072444,4,321.106225,0,2402,
2件目以降だけ,材料12≥p75,最後のプリント+300秒+d,含み損20bp,-3595.916431,-3.257632,-21.632251,11.011581,0.000000,0.553476,-1.012365,0.685745,1496,213,1496,-1633.061457,-1962.854974,97.461995,-36.895576,3,234.534213,0,2402,
2件目以降だけ,材料12≥p75,最後のプリント+300秒+d,含み損50bp,-3328.487134,0.880931,-14.526867,13.063376,0.000000,0.479947,-0.631670,0.804902,1496,213,1496,-1277.756274,-2050.730860,122.435998,-27.185527,3,294.632082,0,2402,
2件目以降だけ,材料12≥p75,入ってから300秒+d,なし,-633.375261,1.098019,-11.611765,13.805602,0.000000,0.471925,0.874463,0.836288,1496,213,1496,-731.664342,98.289081,125.021112,-5.066146,4,300.852943,0,2402,
2件目以降だけ,材料12≥p75,入ってから300秒+d,含み損20bp,-3671.391186,-3.230357,-21.400184,10.990970,0.000000,0.556150,-1.148413,0.683849,1496,213,1496,-1662.798637,-2008.592550,94.641404,-38.792653,3,227.746694,0,2402,
2件目以降だけ,材料12≥p75,入ってから300秒+d,含み損50bp,-3483.019266,0.427831,-14.213138,13.063376,0.000000,0.490642,-0.757926,0.805619,1496,213,1496,-1337.503931,-2145.515335,116.274955,-29.955026,3,279.806041,0,2402,
2件目以降だけ,材料12≥p90,連鎖の終わり+d,なし,-243.951950,0.573965,-6.076320,8.153495,0.000000,0.481214,-0.448594,0.643983,692,191,692,-406.804615,162.852666,15.695815,-15.542483,1,81.654530,0,3206,
