timestamp,best_bid,best_ask,ltp
1787295075.956,11980123.0,11984362.0,11982539.0
1787295080.990,11980652.0,11984379.0,11982539.0
1787295086.024,11980091.0,11983140.0,11982539.0
1787295091.059,11980425.0,11983951.0,11983951.0
1787295096.098,11981706.0,11984865.0,11983951.0
1787295101.166,11980447.0,11982608.0,11983951.0
1787295106.205,11978807.0,11981087.0,11980059.0
1787295111.243,11979837.0,11982399.0,11981087.0
1787295116.315,11978807.0,11981489.0,11981087.0
1787295121.375,11978807.0,11980977.0,11981087.0
1787295126.444,11985003.0,11989875.0,11986741.0
1787295131.504,11982212.0,11985577.0,11982524.0
1787295136.556,11982420.0,11985432.0,11982524.0
1787295141.616,11980748.0,11983199.0,11981087.0
1787295146.670,11978113.0,11979822.0,11978418.0
1787295151.727,11975647.0,11976916.0,11978043.0
1787295156.790,11981353.0,11985526.0,11982949.0
1787295161.892,11979661.0,11983689.0,11980629.0
1787295166.951,11979310.0,11981014.0,11981014.0
1787295172.018,11977001.0,11981227.0,11977711.0
1787295177.078,11973971.0,11977320.0,11976370.0
1787295182.114,11973737.0,11976501.0,11976370.0
1787295187.175,11973639.0,11975414.0,11976370.0
1787295192.236,11976948.0,11979766.0,11978967.0
1787295197.289,11977138.0,11981694.0,11981885.0
1787295202.352,11980123.0,11982969.0,11981885.0
1787295207.411,11981086.0,11981698.0,11980206.0
1787295212.476,11985414.0,11986386.0,11985395.0
1787295217.540,11986528.0,11989193.0,11987291.0
1787295222.658,11984187.0,11988970.0,11986386.0
1787295227.731,11987739.0,11990358.0,11987738.0
1787295232.796,11985273.0,11986906.0,11987134.0
1787295237.832,11982615.0,11985874.0,11982614.0
1787295242.888,11982694.0,11986003.0,11985119.0
1787295247.951,11985000.0,11988456.0,11984863.0
1787295253.014,11986473.0,11989622.0,11984863.0
1787295258.081,11988516.0,11991941.0,11990542.0
1787295263.132,11991696.0,11994364.0,11995262.0
1787295268.182,11990403.0,11992604.0,11991313.0
1787295273.249,11989482.0,11991891.0,11991313.0
1787295278.309,11989208.0,11993889.0,11992160.0
1787295283.361,11994528.0,11996636.0,11992393.0
1787295288.420,11996136.0,11997847.0,11992393.0
1787295293.493,11995064.0,11996800.0,11996800.0
1787295298.554,11992727.0,11995645.0,11994310.0
1787295303.617,11994321.0,11995163.0,11994310.0
1787295308.679,11993130.0,11996263.0,11994539.0
1787295313.740,11996821.0,12001721.0,11998294.0
1787295318.794,12000890.0,12003875.0,12000888.0
1787295323.857,12002317.0,12005340.0,12001503.0
1787295328.923,12002605.0,12005730.0,12005342.0
1787295333.977,12002605.0,12005224.0,12005532.0
1787295339.035,11999078.0,12002187.0,11999078.0
1787295344.092,11996448.0,11999653.0,11999314.0
1787295349.203,11997008.0,11999459.0,11999314.0
1787295354.274,11999314.0,12000698.0,11999314.0
1787295359.311,11995013.0,11999030.0,11997161.0
1787295364.346,11994073.0,11994325.0,11995109.0
1787295369.405,11990096.0,11993443.0,11993191.0
1787295374.458,11996193.0,11999556.0,11996954.0
1787295379.511,11998165.0,12001819.0,11996954.0
1787295384.585,11998923.0,12000982.0,11996954.0
1787295389.676,11999580.0,12004310.0,12001820.0
1787295394.745,12001477.0,12005214.0,12001820.0
1787295399.806,12000494.0,12003262.0,12001684.0
1787295404.868,12001432.0,12004589.0,12004590.0
1787295409.935,12002600.0,12006038.0,12004590.0
1787295414.998,12005493.0,12006627.0,12006632.0
1787295420.055,12005492.0,12007369.0,12007369.0
1787295425.123,12005530.0,12006632.0,12007369.0
1787295430.181,12005492.0,12006631.0,12007369.0
1787295435.240,12004194.0,12006510.0,12005492.0
1787295440.299,12004415.0,12006630.0,12005492.0
1787295445.350,12001082.0,12004465.0,12004280.0
1787295450.507,12001590.0,12003109.0,12001149.0
1787295455.565,12000000.0,12003212.0,12001569.0
1787295460.628,11997979.0,12001628.0,12000000.0
1787295465.690,11999282.0,12001576.0,12000000.0
1787295470.755,11998919.0,12001660.0,11998582.0
1787295475.821,12000927.0,12002267.0,12001223.0
1787295480.905,11998919.0,12002331.0,12000113.0
1787295485.966,11998062.0,11999654.0,12000113.0
1787295491.003,11997060.0,11999101.0,11998062.0
1787295496.037,11997064.0,11999512.0,11998062.0
1787295501.103,11997438.0,11999665.0,11996371.0
1787295506.159,11996614.0,11997879.0,11997879.0
1787295511.194,11997296.0,11998979.0,11997879.0
1787295516.255,11996245.0,11998884.0,11997879.0
1787295521.297,11996200.0,11998461.0,11996812.0
1787295526.358,11994025.0,11996566.0,11996200.0
1787295531.394,11995973.0,11997943.0,11996200.0
1787295536.462,11995626.0,11999125.0,11996200.0
1787295541.524,11998198.0,12001311.0,12000165.0
1787295546.594,11999889.0,12002265.0,12001355.0
1787295551.655,12001718.0,12004682.0,12002265.0
1787295556.719,12002381.0,12004673.0,12002265.0
1787295561.777,12002424.0,12005336.0,12002265.0
1787295566.843,12003241.0,12005652.0,12002265.0
1787295571.879,12003368.0,12006243.0,12003349.0
1787295576.937,12003397.0,12005567.0,12004875.0
1787295582.005,12003978.0,12006199.0,12004875.0
1787295587.116,12004569.0,12008564.0,12008564.0
1787295592.169,12004531.0,12007756.0,12008564.0
1787295597.230,12008247.0,12009718.0,12008099.0
1787295602.295,12004531.0,12006265.0,12008247.0
1787295607.363,12002252.0,12004665.0,12003854.0
1787295612.427,12001473.0,12002988.0,12002998.0
1787295617.493,12003442.0,12006241.0,12002998.0
1787295622.556,12002801.0,12005937.0,12002489.0
1787295627.612,12003254.0,12005489.0,12002489.0
1787295632.663,12003225.0,12005487.0,12002489.0
1787295637.721,12008939.0,12011564.0,12011327.0
1787295642.780,12010630.0,12012796.0,12012796.0
1787295647.844,12013492.0,12015665.0,12012796.0
1787295652.922,12010662.0,12011519.0,12014181.0
1787295657.966,12013822.0,12017085.0,12014602.0
1787295663.018,12015197.0,12019517.0,12018400.0
1787295668.060,12017146.0,12018765.0,12018765.0
1787295673.131,12015364.0,12019183.0,12017388.0
1787295678.205,12013435.0,12017221.0,12015192.0
1787295683.270,12015588.0,12019921.0,12017760.0
1787295688.327,12013122.0,12016599.0,12013926.0
1787295693.399,12011947.0,12013560.0,12013561.0
1787295698.459,12009240.0,12010956.0,12011947.0
1787295703.519,12012839.0,12016632.0,12015712.0
1787295708.578,12011133.0,12014816.0,12010978.0
1787295713.639,12010000.0,12010431.0,12010000.0
1787295718.697,12009060.0,12012549.0,12012740.0
