ts_utc,okx_usdt_oi,okx_usd_oi,okx_ls_ratio,dvol,deribit_oi
2026-08-21T08:15:33+00:00,3074102.6700000144,4780830.300000001,1.15,42.74,819256400.0
2026-08-21T08:30:36+00:00,3090827.860000015,4768756.2,1.16,42.66,846523810.0
2026-08-21T08:45:45+00:00,3086378.2900000126,4780187.600000001,1.19,43.24,847116600.0
2026-08-21T09:00:51+00:00,2983848.350000012,4777111.300000001,1.33,45.26,853401530.0
2026-08-21T09:15:44+00:00,2951520.1900000116,4761428.8,1.16,47.08,858922400.0
2026-08-21T09:30:35+00:00,2979622.6700000116,4773132.2,1.13,45.69,861679620.0
2026-08-21T09:45:42+00:00,2985089.0800000113,4760744.9,1.19,44.43,860151510.0
2026-08-21T10:00:44+00:00,3001128.800000011,4765236.5,1.17,44.56,859378140.0
2026-08-21T10:15:30+00:00,3010677.9500000104,4755388.600000001,1.17,44.67,858075500.0
2026-08-21T10:30:15+00:00,3026680.1100000115,4752385.0,1.17,44.81,858702280.0
2026-08-21T10:45:46+00:00,3036483.1000000117,4750605.3,1.16,44.75,860274640.0
2026-08-21T11:01:06+00:00,3041377.350000013,4751938.600000001,1.16,44.34,859270930.0
2026-08-21T11:15:36+00:00,3056110.980000014,4744585.7,1.14,44.14,857855160.0
2026-08-21T11:30:32+00:00,3056862.830000014,4723232.4,1.12,44.27,857828170.0
2026-08-21T11:45:17+00:00,3022671.4300000137,4681647.300000001,1.05,43.33,861567920.0
2026-08-21T12:00:18+00:00,3053702.390000015,4664351.3,1.05,43.03,858054610.0
2026-08-21T12:15:51+00:00,3062410.630000015,4661365.4,1.06,42.86,855073430.0
2026-08-21T12:30:16+00:00,3065456.040000015,4658897.4,1.07,42.82,854296430.0
2026-08-21T12:45:17+00:00,3027735.9700000156,4666090.0,1.12,42.96,854681080.0
