date,product,month,night_open,night_high,night_low,night_close,day_open,day_high,day_low,day_close,day_volume,settlement
20260902,large,202609,66010,66050,64650,64880,64780,64930,64220,64350,37807,64350.00
20260902,large,202612,65850,65850,64520,64780,64700,64780,64070,64190,937,64190.00
20260902,mini,202609,66010,66035,64645,64880,64780,64940,64215,64345,564951,64350.00
20260902,mini,202610,65755,65755,64335,64555,64545,64620,63905,64105,5022,64105.00
20260902,mini,202611,65500,65500,64560,64690,64680,64680,64030,64200,120,64085.00
20260902,mini,202612,65875,65890,64510,64715,64645,64790,64070,64235,28367,64190.00
20260902,mini,202701,64895,64895,64715,64715,64455,64500,64220,64450,29,64320.00
20260902,mini,202703,66035,66035,64750,65065,64805,65030,64300,64380,1017,64400.00
20260902,mini,202706,65800,65800,64700,64910,64905,64905,64200,64465,154,64290.00
20260902,mini,202709,65620,65620,65000,65065,65065,65090,64465,64700,85,64560.00
20260902,mini,202712,66015,66015,64800,65010,65010,65010,64380,64435,194,64480.00
20260902,mini,202812,66615,66615,65750,66130,65295,65330,65000,65000,25,65030.00
20260902,micro,202609,66015,66040,64645,64875,64750,64940,64220,64350,695916,64350
20260902,micro,202610,65750,65750,64350,64645,64485,64620,63905,64105,8469,64105
20260902,micro,202611,65660,65660,64490,64680,64680,64680,64040,64150,492,64085
20260902,micro,202612,65880,65880,64510,64705,64650,64790,64070,64220,85276,64190
20260903,large,202609,64420,64840,63720,64480,64580,64760,63760,64230,27854,64230.00
20260903,large,202612,64190,64700,63590,64420,64420,64600,63630,64090,1257,64090.00
20260903,large,202703,63900,64130,63900,64130,64310,64500,64250,64500,15,64320.00
20260903,large,202706,63800,64040,63800,64040,64450,64450,64450,64450,575,64170.00
20260903,mini,202609,64400,64850,63725,64500,64575,64765,63765,64230,507581,64230.00
20260903,mini,202610,64100,64515,63415,64210,64210,64445,63455,63920,3841,63920.00
20260903,mini,202611,63970,64595,63620,64500,64410,64410,63795,63920,64,64025.00
20260903,mini,202612,64265,64700,63580,64365,64440,64620,63620,64100,24913,64090.00
20260903,mini,202701,64555,64555,64555,64555,64300,64455,64165,64165,7,64185.00
20260903,mini,202703,64640,64895,63820,64640,64680,64815,63850,64370,705,64320.00
20260903,mini,202706,64330,64780,63700,64750,64690,64690,63900,64150,97,64170.00
20260903,mini,202709,64185,65015,63990,65015,64540,64700,64120,64120,16,64440.00
20260903,mini,202712,64500,64990,63900,64855,64810,65000,63955,64430,130,64360.00
20260903,mini,202812,64825,65400,64500,65400,65450,65450,65095,65195,12,64910.00
20260903,micro,202609,64400,64850,63725,64500,64580,64765,63760,64210,678036,64230
20260903,micro,202610,64085,64515,63405,64200,64245,64440,63445,63845,6355,63920
20260903,micro,202611,64100,64580,63510,64430,64430,64540,63560,64015,413,64025
20260903,micro,202612,64280,64710,63585,64390,64450,64630,63620,64115,78457,64090
