date_t,date_t1,open_t,close_t,open_t1,r_day_bps,r_night_bps,tick_yen,cost_cons_bps,net_opt_bps,net_cons_bps,flag_null_t,flag_null_t1,flag_ghost_t,flag_ghost_t1,flag_split_t,flag_split_t1,flag_badprint_t,flag_badprint_t1,excluded,valid_raw,clean,weekday,month,era,vol20,vol_tercile
2011-12-27,2011-12-28,735.0,734.0,735.0,-13.605442176870541,13.623978201635634,1.0,27.247956403269754,13.623978201635634,-13.62397820163412,False,False,False,False,False,False,False,False,False,True,True,1,12,era1,64.48561979960853,mid
2011-12-28,2011-12-29,735.0,733.0,730.0,-27.210884353741083,-40.92769440654842,1.0,27.285129604365622,-40.92769440654842,-68.21282401091403,False,False,False,False,False,False,False,False,False,True,True,2,12,era1,59.272381937427724,low
2011-12-29,2011-12-30,730.0,735.0,738.0,68.49315068493178,40.816326530612734,1.0,27.210884353741495,40.816326530612734,13.60544217687124,False,False,False,False,False,False,False,False,False,True,True,3,12,era1,59.303670389811096,low
2011-12-30,2012-01-04,738.0,740.0,748.0,27.100271002709064,108.108108108107,1.0,27.027027027027028,108.108108108107,81.08108108107997,False,False,False,False,False,False,False,False,False,True,True,4,12,era1,56.22015119160263,low
2012-01-04,2012-01-05,748.0,753.0,751.0,66.84491978609542,-26.560424966799445,1.0,26.560424966799467,-26.560424966799445,-53.12084993359891,False,False,False,False,False,False,False,False,False,True,True,2,1,era1,56.99540534673285,low
2012-01-05,2012-01-06,751.0,748.0,746.0,-39.946737683089765,-26.73796791443861,1.0,26.7379679144385,-26.73796791443861,-53.47593582887711,False,False,False,False,False,False,False,False,False,True,True,3,1,era1,57.54932113156101,low
2012-01-06,2012-01-10,746.0,740.0,744.0,-80.42895442359254,54.0540540540535,1.0,27.027027027027028,54.0540540540535,27.027027027026474,False,False,False,False,False,False,False,False,False,True,True,4,1,era1,57.623708005705254,low
2012-01-10,2012-01-11,744.0,743.0,745.0,-13.440860215053752,26.917900403768957,1.0,26.917900403768506,26.917900403768957,4.511946372076636e-13,False,False,False,False,False,False,False,False,False,True,True,1,1,era1,47.827644320870874,low
2012-01-11,2012-01-12,745.0,743.0,743.0,-26.845637583892135,0.0,1.0,26.917900403768506,0.0,-26.917900403768506,False,False,False,False,False,False,False,False,False,True,True,2,1,era1,47.88673674484698,low
2012-01-12,2012-01-13,743.0,738.0,742.0,-67.29475100942128,54.200542005420346,1.0,27.100271002710027,54.200542005420346,27.10027100271032,False,False,False,False,False,False,False,False,False,True,True,3,1,era1,49.334673303526884,low
