cascade_id,day,start_ms,end_ms,bundle_width_ms,direction,n_events,tie_after_shift,path_after_shift,tie_before,path_before,anchor_ts_ms,anchor_price,anchor_before_ts_ms,anchor_before_price,anchor_lag_ms,anchor_price_diff_bp,bp_1m_diff,bp_5m_diff,bp_15m_diff,bp_30m_diff,bp_60m_diff,bp_240m_diff
binance_cm_real_000086,2023-06-27,1687826272265,1687826273383,1118,short,2,False,,False,,1687826273383,30324.0,1687826273383,30324.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000087,2023-06-27,1687832038119,1687832038119,0,short,1,True,time_resolution,True,time_resolution,1687832038119,30392.0,1687832038119,30392.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000088,2023-06-27,1687832459551,1687832459551,0,short,1,True,time_resolution,True,time_resolution,1687832459551,30412.6,1687832459551,30412.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000089,2023-06-27,1687834657259,1687834657259,0,short,1,True,time_resolution,True,time_resolution,1687834657259,30467.4,1687834657259,30467.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000090,2023-06-27,1687837725047,1687837725047,0,long,1,True,time_resolution,True,time_resolution,1687837725047,30357.6,1687837725047,30357.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000091,2023-06-27,1687844312484,1687844312484,0,long,1,True,time_resolution,True,time_resolution,1687844312484,30266.7,1687844312484,30266.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000092,2023-06-27,1687847044319,1687847044319,0,long,1,True,time_resolution,True,time_resolution,1687847044319,30227.9,1687847044319,30227.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000093,2023-06-27,1687850484830,1687850484830,0,short,1,True,time_resolution,True,time_resolution,1687850484830,30375.7,1687850484830,30375.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000094,2023-06-27,1687851914489,1687851914489,0,short,1,True,time_resolution,True,time_resolution,1687851914489,30401.1,1687851914489,30401.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000095,2023-06-27,1687852276850,1687852279088,2238,short,2,True,price_tick,True,price_tick,1687852279088,30444.2,1687852279088,30444.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000096,2023-06-27,1687860367746,1687860448932,81186,short,6,False,,False,,1687860448932,30570.0,1687860448932,30570.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000097,2023-06-27,1687860701023,1687860815033,114010,short,8,False,,False,,1687860815033,30688.3,1687860815033,30688.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000098,2023-06-27,1687861406421,1687861406421,0,short,1,True,time_resolution,True,time_resolution,1687861406421,30696.8,1687861406421,30696.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000099,2023-06-27,1687861729882,1687861729882,0,long,1,True,price_tick,True,time_resolution,1687861730021,30572.3,1687861729881,30572.3,139,0.0,0.0,0.0,0.0,0.0,0.7850243521100655,0.0
binance_cm_real_000100,2023-06-27,1687864272215,1687864272215,0,long,1,True,time_resolution,True,time_resolution,1687864272215,30556.7,1687864272215,30556.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000101,2023-06-27,1687864698148,1687864698148,0,long,1,True,time_resolution,True,time_resolution,1687864698148,30548.0,1687864698148,30548.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000102,2023-06-27,1687866622993,1687866645997,23004,short,5,False,,False,,1687866645998,30763.2,1687866645988,30763.0,1,0.06501316516618262,-0.06491700810140699,-0.06488594197278985,-0.06481472234459318,-0.06485846852570987,-0.06483501042859174,-0.06446876824560377
binance_cm_real_000103,2023-06-27,1687869082766,1687869082766,0,long,1,True,time_resolution,True,time_resolution,1687869082766,30636.0,1687869082766,30636.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000104,2023-06-27,1687871461470,1687871461470,0,long,1,False,,True,time_resolution,1687871461470,30594.7,1687871461470,30592.3,0,0.7845111351554003,-0.7849111512924569,-0.7851624434811217,-0.7849085870864503,-0.784490621507346,-0.7917857875966376,-0.7860163240813769
