ts,open,high,low,close,volume,buy_vol,sell_vol,trades
2026-08-19 16:52:00+00:00,10853927.0,10860509.0,10853927.0,10857654.0,0.28043405,0.22032785,0.0601062,20
2026-08-19 16:53:00+00:00,10858382.0,10858382.0,10852386.0,10854243.0,0.19410053,0.012,0.18210052999999998,12
2026-08-19 16:54:00+00:00,10852250.0,10856408.0,10845960.0,10848197.0,1.01232429,0.23220673,0.78011756,63
2026-08-19 16:55:00+00:00,10850295.0,10852364.0,10848863.0,10850000.0,0.84036444,0.7532943400000001,0.0870701,42
2026-08-19 16:56:00+00:00,10850000.0,10851218.0,10847373.0,10850693.0,0.60451351,0.51094631,0.0935672,40
2026-08-19 16:57:00+00:00,10849239.0,10849239.0,10836903.0,10837838.0,1.06045672,0.51367634,0.5467803800000001,64
2026-08-19 16:58:00+00:00,10837933.0,10837933.0,10826119.0,10830401.0,1.10907208,0.4375655,0.67150658,54
2026-08-19 16:59:00+00:00,10832020.0,10840854.0,10832020.0,10834162.0,0.44898578,0.28262273,0.16636305,25
2026-08-19 17:00:00+00:00,10836179.0,10845788.0,10830691.0,10830691.0,1.33413113,0.80573459,0.52839654,62
2026-08-19 17:01:00+00:00,10828650.0,10830363.0,10819736.0,10819736.0,0.63650781,0.18839941999999998,0.44810839,50
2026-08-19 17:02:00+00:00,10818919.0,10823879.0,10818399.0,10818775.0,0.86994116,0.48354590000000003,0.38639526,49
2026-08-19 17:03:00+00:00,10816903.0,10834206.0,10806971.0,10834206.0,1.15389376,0.45154385,0.70234991,77
2026-08-19 17:04:00+00:00,10834206.0,10834206.0,10821980.0,10825137.0,0.46076119,0.1838532,0.27690799,28
2026-08-19 17:05:00+00:00,10828129.0,10831710.0,10827238.0,10830011.0,0.20066347,0.09369025,0.10697322,17
2026-08-19 17:06:00+00:00,10829340.0,10829370.0,10817975.0,10818116.0,0.70131651,0.24127932,0.46003719,40
2026-08-19 17:07:00+00:00,10817218.0,10822830.0,10813662.0,10813662.0,0.615753,0.2936827,0.3220703,44
2026-08-19 17:08:00+00:00,10810898.0,10810898.0,10800369.0,10800369.0,1.7478135300000002,1.0926919000000002,0.65512163,54
2026-08-19 17:09:00+00:00,10805038.0,10820812.0,10801765.0,10813451.0,2.95052575,1.81230112,1.13822463,107
2026-08-19 17:10:00+00:00,10815269.0,10823957.0,10814640.0,10817330.0,0.6398645000000001,0.3564924,0.2833721,45
2026-08-19 17:11:00+00:00,10815990.0,10817117.0,10800000.0,10807353.0,1.83612684,1.2668563,0.56927054,67
2026-08-19 17:12:00+00:00,10806125.0,10818563.0,10803338.0,10817000.0,0.75300017,0.49139677,0.2616034,47
2026-08-19 17:13:00+00:00,10817000.0,10821370.0,10806260.0,10809162.0,3.46019761,1.17862219,2.2815754200000002,113
2026-08-19 17:14:00+00:00,10807546.0,10812972.0,10798500.0,10802314.0,1.8032689,0.1917288,1.6115401,63
2026-08-19 17:15:00+00:00,10803759.0,10816321.0,10799080.0,10815611.0,1.50820751,0.38862971,1.1195778,64
2026-08-19 17:16:00+00:00,10811774.0,10813432.0,10798201.0,10799107.0,0.49029641,0.26399641,0.2263,35
2026-08-19 17:17:00+00:00,10798918.0,10800858.0,10785070.0,10786598.0,1.37558161,0.6081351,0.76744651,76
2026-08-19 17:18:00+00:00,10783839.0,10787006.0,10771674.0,10784399.0,4.7390298,2.01992044,2.71910936,151
2026-08-19 17:19:00+00:00,10784562.0,10784562.0,10770806.0,10770806.0,4.3330036000000005,1.10864176,3.2243618400000003,95
2026-08-19 17:20:00+00:00,10773048.0,10781967.0,10768139.0,10779184.0,1.29699673,0.9467021,0.35029463,69
2026-08-19 17:21:00+00:00,10775635.0,10776888.0,10768728.0,10776888.0,0.47429387,0.1366532,0.33764067,34
2026-08-19 17:22:00+00:00,10776914.0,10776914.0,10768800.0,10773728.0,0.8059,0.32389999999999997,0.482,48
2026-08-19 17:23:00+00:00,10771530.0,10771530.0,10761167.0,10761167.0,0.69555931,0.13081951,0.5647398,34
2026-08-19 17:24:00+00:00,10759921.0,10763104.0,10750000.0,10757934.0,5.26096161,4.53547629,0.72548532,87
2026-08-19 17:25:00+00:00,10755193.0,10757621.0,10749153.0,10749153.0,1.34660632,0.80752509,0.53908123,85
2026-08-19 17:26:00+00:00,10748650.0,10755254.0,10746747.0,10750499.0,5.70970054,2.98398304,2.7257175,154
2026-08-19 17:27:00+00:00,10750499.0,10750499.0,10745969.0,10748175.0,0.74115248,0.10561033,0.6355421499999999,28
2026-08-19 17:28:00+00:00,10749364.0,10749454.0,10736854.0,10740926.0,1.37702062,0.48607145,0.8909491700000001,59
2026-08-19 17:29:00+00:00,10742459.0,10766855.0,10742459.0,10765000.0,0.77853237,0.61925385,0.15927852,29
2026-08-19 17:30:00+00:00,10765623.0,10768753.0,10753169.0,10753169.0,3.8054,2.0734,1.732,64
2026-08-19 17:31:00+00:00,10752330.0,10754649.0,10740270.0,10741253.0,1.29253836,0.40483836,0.8877,54
2026-08-19 17:32:00+00:00,10741253.0,10741422.0,10738534.0,10738534.0,2.4605202,1.0325,1.4280202,55
2026-08-19 17:33:00+00:00,10737226.0,10765555.0,10737226.0,10759075.0,2.8291256000000002,1.10819737,1.72092823,103
2026-08-19 17:34:00+00:00,10759609.0,10763657.0,10753217.0,10760000.0,1.27549624,0.5944075,0.68108874,68
2026-08-19 17:35:00+00:00,10759549.0,10773634.0,10759549.0,10773634.0,1.46597057,0.49097057,0.975,23
2026-08-19 17:36:00+00:00,10772648.0,10777196.0,10769836.0,10773911.0,1.9516159,0.98917933,0.96243657,76
2026-08-19 17:37:00+00:00,10776286.0,10777318.0,10772190.0,10772525.0,0.86138976,0.19537205,0.66601771,50
2026-08-19 17:38:00+00:00,10774982.0,10776906.0,10771580.0,10776906.0,2.05682661,1.23725938,0.81956723,65
2026-08-19 17:39:00+00:00,10776822.0,10781261.0,10772320.0,10780779.0,0.8212888,0.293034,0.5282548,46
2026-08-19 17:40:00+00:00,10779434.0,10781395.0,10776910.0,10776910.0,1.21322409,0.57901835,0.63420574,77
2026-08-19 17:41:00+00:00,10776902.0,10777847.0,10772639.0,10776185.0,0.81518196,0.30725589,0.50792607,45
2026-08-19 17:42:00+00:00,10775958.0,10779607.0,10774542.0,10777440.0,0.24093332,0.038058220000000004,0.2028751,28
