t_date,t1_date,close_t,lot_units,notional_yen,fee_yen_per_execution,fee_bps_roundtrip,cost_conservative_bps,cost_conservative_plus_oldfee_bps,r_night_used_bps,net_conservative_plus_oldfee_bps
2015-06-29,2015-06-30,1922.0,52.0,99944.0,55.0,11.006163451532858,10.405827263267431,21.41199071480029,-20.81165452653466,-42.22364524133495
2015-06-30,2015-07-01,1918.0,52.0,99736.0,55.0,11.029116868532926,10.427528675703858,21.456645544236785,10.427528675704956,-11.02911686853183
2015-07-01,2015-07-02,1914.0,52.0,99528.0,55.0,11.052166224580018,10.449320794148381,21.501487018728398,26.123301985370162,4.6218149666417645
2015-07-02,2015-07-03,1893.0,53.0,100329.0,99.0,19.73507161438866,10.565240359218173,30.30031197360683,-15.847860538826808,-46.14817251243364
2015-07-03,2015-07-06,1866.0,54.0,100764.0,99.0,19.649874955341193,10.718113612004288,30.36798856734548,-96.46302250803873,-126.83101107538421
2015-07-06,2015-07-07,1834.0,55.0,100870.0,99.0,19.629225736095968,10.905125408942203,30.534351145038173,54.52562704471031,23.99127589967214
2015-07-07,2015-07-08,1826.0,55.0,100430.0,99.0,19.715224534501644,10.95290251916758,30.668127053669224,-16.429353778751874,-47.0974808324211
2015-07-08,2015-07-09,1795.0,56.0,100520.0,99.0,19.69757262236371,11.142061281337048,30.839633903700758,-278.55153203342644,-309.3911659371272
2015-07-09,2015-07-10,1771.0,56.0,99176.0,55.0,11.091393078970718,11.29305477131564,22.384447850286357,50.81874647091978,28.43429862063342
2015-07-10,2015-07-13,1754.0,57.0,99978.0,55.0,11.002420532517153,11.402508551881414,22.404929084398567,148.23261117445918,125.82768209006062
2015-07-13,2015-07-14,1809.0,55.0,99495.0,55.0,11.055831951354339,11.055831951354339,22.111663902708678,221.1166390270858,199.00497512437713
2015-07-14,2015-07-15,1820.0,55.0,100100.0,99.0,19.78021978021978,10.989010989010989,30.76923076923077,71.42857142857117,40.6593406593404
2015-07-15,2015-07-16,1850.0,54.0,99900.0,55.0,11.011011011011012,10.81081081081081,21.82182182182182,21.6216216216214,-0.2002002002004204
2015-07-16,2015-07-17,1867.0,54.0,100818.0,99.0,19.639350116050707,10.712372790573111,30.35172290662382,5.356186395286677,-24.995536511337143
2015-07-17,2015-07-21,1864.0,54.0,100656.0,99.0,19.67095851216023,10.729613733905579,30.400572246065806,10.729613733906351,-19.670958512159455
2015-07-21,2015-07-22,1868.0,54.0,100872.0,99.0,19.628836545324766,10.706638115631693,30.335474660956457,-42.82655246252709,-73.16202712348354
2015-07-22,2015-07-23,1874.0,53.0,99322.0,55.0,11.075089104125974,10.672358591248667,21.74744769537464,-48.02561366061941,-69.77306135599406
2015-07-23,2015-07-24,1855.0,54.0,100170.0,99.0,19.76639712488769,10.781671159029651,30.54806828391734,21.563342318058343,-8.984725965858996
2015-07-24,2015-07-27,1864.0,54.0,100656.0,99.0,19.67095851216023,10.729613733905579,30.400572246065806,16.094420600858417,-14.30615164520739
2015-07-27,2015-07-28,1859.0,54.0,100386.0,99.0,19.723865877712033,10.758472296933835,30.482338174645868,-48.4131253362019,-78.89546351084778
2015-07-28,2015-07-29,1855.0,54.0,100170.0,99.0,19.76639712488769,10.781671159029651,30.54806828391734,-43.12668463611891,-73.67475292003624
2015-07-29,2015-07-30,1859.0,54.0,100386.0,99.0,19.723865877712033,10.758472296933835,30.482338174645868,5.379236148466138,-25.10310202617973
2015-07-30,2015-07-31,1860.0,54.0,100440.0,99.0,19.713261648745522,10.75268817204301,30.46594982078853,37.63440860214962,7.168458781361089
2015-07-31,2015-08-03,1869.0,54.0,100926.0,99.0,19.6183342250758,10.700909577314071,30.31924380238987,26.75227394328461,-3.56696985910526
2015-08-03,2015-08-04,1890.0,53.0,100170.0,99.0,19.76639712488769,10.582010582010582,30.34840770689827,10.582010582009804,-19.766397124888467
2015-08-04,2015-08-05,1900.0,53.0,100700.0,99.0,19.662363455809334,10.526315789473683,30.18867924528302,-21.052631578947214,-51.24131082423023
2015-08-05,2015-08-06,1898.0,53.0,100594.0,99.0,19.683082490009348,10.53740779768177,30.220490287691117,-14.225500526870993,-44.44599081456211
2015-08-06,2015-08-07,1871.0,53.0,99163.0,55.0,11.092847130482134,10.689470871191876,21.78231800167401,-5.344735435596215,-27.127053437270227
2015-08-07,2015-08-10,1870.0,53.0,99110.0,55.0,11.098779134295228,10.695187165775401,21.79396630007063,-26.73796791443861,-48.531934214509235
2015-08-10,2015-08-11,1857.0,54.0,100278.0,99.0,19.745108598097293,10.770059235325794,30.515167833423085,-21.540118470652068,-52.05528630407515
2015-08-11,2015-08-12,1843.0,54.0,99522.0,55.0,11.052832539538997,10.851871947911015,21.90470448745001,-32.555615843733456,-54.46032033118347
2015-08-12,2015-08-13,1837.0,54.0,99198.0,55.0,11.088933244621868,10.887316276537835,21.9762495211597,-32.66194882961315,-54.63819835077285
2015-08-13,2015-08-14,1831.0,55.0,100705.0,99.0,19.661387220098305,10.922992900054615,30.58438012015292,5.461496450027692,-25.12288367012523
2015-08-14,2015-08-17,1829.0,55.0,100595.0,99.0,19.682886823400768,10.934937124111535,30.617823947512303,32.80481137233559,2.1869874248232897
2015-08-17,2015-08-18,1838.0,54.0,99252.0,55.0,11.082900092693347,10.881392818280741,21.964292910974088,10.881392818280489,-11.082900092693599
2015-08-18,2015-08-19,1848.0,54.0,99792.0,55.0,11.022927689594356,10.822510822510823,21.84543851210518,5.4112554112561995,-16.43418310084898
2015-08-19,2015-08-20,1856.0,54.0,100224.0,99.0,19.755747126436784,10.775862068965518,30.531609195402304,-43.10344827586188,-73.63505747126419
2015-08-20,2015-08-21,1844.0,54.0,99576.0,55.0,11.046838595645536,10.84598698481562,21.892825580461157,-168.11279826464244,-190.0056238451036
2015-08-21,2015-08-24,1820.0,55.0,100100.0,99.0,19.78021978021978,10.989010989010989,30.76923076923077,-225.2747252747256,-256.04395604395637
2015-08-24,2015-08-25,1745.0,57.0,99465.0,55.0,11.059166540994319,11.46131805157593,22.52048459257025,-269.3409742120345,-291.86145880460475
2015-08-25,2015-08-26,1716.0,58.0,99528.0,55.0,11.052166224580018,11.655011655011656,22.707177879591676,180.6526806526798,157.94550277308812
2015-08-26,2015-08-27,1703.0,59.0,100477.0,99.0,19.70600236870129,11.743981209630064,31.449983578331356,270.1115678214916,238.66158424316023
2015-08-27,2015-08-28,1716.0,58.0,99528.0,55.0,11.052166224580018,11.655011655011656,22.707177879591676,145.68764568764658,122.9804678080549
2015-08-28,2015-08-31,1738.0,58.0,100804.0,99.0,19.64207769532955,11.507479861910241,31.149557557239792,74.79861910241637,43.64906154517658
2015-08-31,2015-09-01,1735.0,58.0,100630.0,99.0,19.67604094206499,11.527377521613833,31.203418463678823,17.291066282421053,-13.91235218125777
2015-09-01,2015-09-02,1703.0,59.0,100477.0,99.0,19.70600236870129,11.743981209630064,31.449983578331356,-46.97592483852042,-78.42590841685177
2015-09-02,2015-09-03,1671.0,60.0,100260.0,99.0,19.748653500897667,11.968880909634949,31.717534410532615,83.7821663674454,52.064631956912784
2015-09-03,2015-09-04,1672.0,60.0,100320.0,99.0,19.736842105263158,11.961722488038276,31.698564593301434,47.84688995215225,16.14832535885082
2015-09-04,2015-09-07,1658.0,60.0,99480.0,55.0,11.057498994772818,12.0627261761158,23.120225170888617,-48.25090470446325,-71.37112987535187
2015-09-07,2015-09-08,1631.0,61.0,99491.0,55.0,11.05627644711582,12.26241569589209,23.318692143007908,42.91845493562319,19.59976279261528
2015-09-08,2015-09-09,1613.0,62.0,100006.0,99.0,19.798812071275723,12.39925604463732,32.198068115913046,142.59144451332918,110.39337639741613
2015-09-09,2015-09-10,1630.0,61.0,99430.0,55.0,11.063059438801165,12.269938650306749,23.332998089107914,-61.34969325153339,-84.6826913406413
2015-09-10,2015-09-11,1618.0,62.0,100316.0,99.0,19.737629092069064,12.360939431396785,32.09856852346585,24.721878862794533,-7.3766896606713175
2015-09-11,2015-09-14,1666.0,60.0,99960.0,55.0,11.004401760704283,12.004801920768307,23.00920368147259,42.016806722688926,19.007603041216335
2015-09-14,2015-09-15,1675.0,60.0,100500.0,99.0,19.70149253731343,11.940298507462687,31.64179104477612,5.970149253731183,-25.671641791044937
2015-09-15,2015-09-16,1689.0,59.0,99651.0,55.0,11.038524450331657,11.841326228537595,22.879850678869253,0.0,-22.879850678869253
2015-09-16,2015-09-17,1678.0,60.0,100680.0,99.0,19.66626936829559,11.918951132300357,31.58522050059595,226.46007151370773,194.8748510131118
2015-09-17,2015-09-18,1714.0,58.0,99412.0,55.0,11.065062567899247,11.668611435239205,22.733674003138454,145.85764294049008,123.12396893735163
2015-09-18,2015-09-24,1746.0,57.0,99522.0,55.0,11.052832539538997,11.45475372279496,22.50758626233396,-85.9106529209619,-108.41823918329585
2015-09-24,2015-09-25,1731.0,58.0,100398.0,99.0,19.721508396581605,11.554015020219525,31.27552341680113,-23.108030040439598,-54.38355345724072
2015-09-25,2015-09-28,1825.0,55.0,100375.0,99.0,19.726027397260275,10.95890410958904,30.684931506849317,-219.17808219178104,-249.86301369863037
2015-09-28,2015-09-29,1809.0,55.0,99495.0,55.0,11.055831951354339,11.055831951354339,22.111663902708678,-138.19789939192972,-160.3095632946384
2015-09-29,2015-09-30,1726.0,58.0,100108.0,99.0,19.778639069804612,11.587485515643106,31.366124585447718,173.81228273464666,142.44615814919894
2015-09-30,2015-10-01,1773.0,56.0,99288.0,55.0,11.078881637257272,11.280315848843768,22.35919748610104,11.280315848842815,-11.078881637258224
2015-10-01,2015-10-02,1795.0,56.0,100520.0,99.0,19.69757262236371,11.142061281337048,30.839633903700758,33.42618384401197,2.5865499403112153
2015-10-02,2015-10-05,1802.0,55.0,99110.0,55.0,11.098779134295228,11.098779134295228,22.197558268590456,-11.098779134295356,-33.29633740288581
2015-10-05,2015-10-06,1800.0,56.0,100800.0,99.0,19.642857142857146,11.11111111111111,30.753968253968257,0.0,-30.753968253968257
2015-10-06,2015-10-07,1806.0,55.0,99330.0,55.0,11.074197120708748,11.074197120708748,22.148394241417495,27.685492801772238,5.5370985603547425
2015-10-07,2015-10-08,1781.0,56.0,99736.0,55.0,11.029116868532926,11.229646266142618,22.258763134675544,56.148231330712676,33.88946819603713
2015-10-08,2015-10-09,1779.0,56.0,99624.0,55.0,11.041516100538022,11.242270938729623,22.283787039267644,-5.621135469364713,-27.904922508632357
2015-10-09,2015-10-13,1791.0,56.0,100296.0,99.0,19.74156496769562,11.166945840312675,30.908510808008295,44.66778336124966,13.759272553241367
2015-10-13,2015-10-14,1787.0,56.0,100072.0,99.0,19.785754256935007,11.191941801902631,30.977696058837637,-16.787912702853625,-47.76560876169126
2015-10-14,2015-10-15,1786.0,56.0,100016.0,99.0,19.79683250679891,11.198208286674133,30.995040793473045,-44.79283314669624,-75.78787394016928
2015-10-15,2015-10-16,1777.0,56.0,99512.0,55.0,11.053943243025968,11.254924029262803,22.308867272288772,5.627462014632378,-16.681405257656394
2015-10-16,2015-10-19,1810.0,55.0,99550.0,55.0,11.049723756906078,11.049723756906078,22.099447513812155,33.14917127071881,11.049723756906655
2015-10-19,2015-10-20,1797.0,56.0,100632.0,99.0,19.675649892678273,11.129660545353367,30.80531043803164,66.77796327211993,35.972652834088294
2015-10-20,2015-10-21,1804.0,55.0,99220.0,55.0,11.086474501108647,11.086474501108647,22.172949002217294,33.25942350332678,11.086474501109485
2015-10-21,2015-10-22,1799.0,56.0,100744.0,99.0,19.65377590725006,11.117287381878821,30.771063289128882,0.0,-30.771063289128882
2015-10-22,2015-10-23,1792.0,56.0,100352.0,99.0,19.730548469387752,11.160714285714285,30.891262755102037,66.96428571428604,36.073022959184
2015-10-23,2015-10-26,1817.0,55.0,99935.0,55.0,11.007154650522839,11.007154650522839,22.014309301045678,71.54650522839923,49.53219592735355
2015-10-26,2015-10-27,1813.0,55.0,99715.0,55.0,11.031439602868176,11.031439602868176,22.06287920573635,0.0,-22.06287920573635
2015-10-27,2015-10-28,1826.0,55.0,100430.0,99.0,19.715224534501644,10.95290251916758,30.668127053669224,16.429353778750766,-14.238773274918458
2015-10-28,2015-10-29,1838.0,54.0,99252.0,55.0,11.082900092693347,10.881392818280741,21.964292910974088,10.881392818280489,-11.082900092693599
2015-10-29,2015-10-30,1847.0,54.0,99738.0,55.0,11.028895706751689,10.828370330265296,21.857266037016984,-5.414185165132368,-27.27145120214935
2015-10-30,2015-11-02,1832.0,55.0,100760.0,99.0,19.650655021834062,10.91703056768559,30.56768558951965,-10.917030567685337,-41.484716157204986
